lAboutText1	~1~ ~2~ (~3~ bits)
lDialogArgumentsLabel	Paramètres
lDialogArgumentsLabelHelp	(mettre chaque paramètre entre guillemets si nécessaire)
lDialogArgumentsPlaceholders	Vous pouvez insérer l'emplacement de ce favori en tout ou en partie dans les paramètre grâce à ces codes: {LOC} (emplacement complet), {NAME} (nom du fichier), {DIR} (dossier), {EXT} (extension), {NOEXT} (nom du fichier sans extension) or {DRIVE} (lecteur)
lDialogArgumentsPlaceholdersCheckLabel	Paramètres actuels avec les codes d'emplacement remplacés
lDialogBrowseButton	Parcourir
lDialogBrowseOrSelectApplication	Parcourir pour sélectionner un fichier exécutable ou`nchoisir une application active dans cette liste
lDialogCancelButton	Annuler
lDialogCancelPrompt	Annuler les changements?
lDialogCancelTitle	Annuler - ~1~ ~2~
lDialogChangeHotkeyAlternative	Ceci est un raccourci du menu Alternatif.`n`nVoulez-vous gérer "~1~" dans "~2~"?
lDialogChangeHotkeyNote	Note: L'emplacement "~1~" sera relié à ce nouveau raccourci dans tous les menus.
lDialogChangeHotkeyPopup	Ceci est un raccourci de menu popup.`n`nVoulez-vous gérer "~1~" dans "~2~"?
lDialogChangeHotkeyTitle	Modifier le raccourci - ~1~ ~2~
lDialogContinue	Poursuivre
lDialogCopy	Copier
lDialogCtrl	Contrôle
lDialogCtrlShort	Ctrl
lDialogEdit	Modifier
lDialogEditIcon	Modifier la ressources de l'icône
lDialogEditIconPrompt	Modifiez l'icône de la ressource selon le format "fichier,index" (par exemple, "shell32.dll,2")
lDialogEndOfMenu	fin du menu
lDialogErrorMoving	Incapable de redimensionner pour le favori:`n"~1~"
lDialogFavoriteDoesNotExistPrompt	Le favori "~1~" n'existe pas ou n'est pas disponible.`n`nSi ce favori réside sur un lecteur réseau, veuillez essayer à nouveau après l'authentification réseau.
lDialogFavoriteDoesNotExistTitle	Favori introuvable - ~1~
lDialogFavoriteDropdownEmpty	Veuillez choisir un item dans la liste déroulante ~1~.
lDialogFavoriteLocationEmpty	L'emplacement est vide. Veuillez indiquer l'emplacement du dossier.
lDialogFavoriteMenuPosition	Insérer le nouveau favori avant cet item
lDialogFavoriteNameEmpty	Le nom du favori est vide. Veuillez indiquer un nom court pour ce favori.
lDialogFavoriteNameNoSeparator	Le nom de cet item ne doit pas inclure le caractère réservé "~1~".
lDialogFavoriteNameNotAllowed	Les favoris de type "~1~" ne peuvent être ajoutés dans les groupes. Veuillez sélectionner un autre menu dans l'onglet "Options du menu Options".
lDialogFavoriteNameNotNew	Le nom "~1~" est déjà présent dans ce menu. Veuillez choisir un nouveau nom.
lDialogFavoriteNameNotNewQAPfeature	Le nom "~1~" est déjà présent dans ce menu. Veuillez renommer le favori existant et essayez à nouveau.
lDialogFavoriteParentMenu	Insérer le nouveau favori dans ce menu
lDialogFavoriteRemovePrompt	Supprimer le sous-menu "~1~"`net TOUT son contenu (dossiers et sous-menus)?
lDialogFavoriteRemoveTitle	Supprimer un favori - ~1~
lDialogFavoriteSelectType	Sélectionnez le type du nouveau favori.`n`nDans l'écran suivant, vous pourrez:`n- nommer votre favori`n- déterminer le contenu visé (selon le type)`n- choisir divers réglages (icône, raccourci, etc.)`n`nChoisissez le type du nouveau favori et cliquez "~1~".
lDialogFavoriteShortNameLabel	Nom court pour le menu
lDialogFavoritesParentMenuMove	Déplacer ~1~ favori vers ce menu
lDialogFavoriteType	Type de favori
lDialogFavoriteTypesHelp1	Créez un raccourci vers un "Dossier" douvent consulté.`n`nChoisissez le nom, l'emplacement et diverses options pour le menu.`n`nLes réglages avancés permettent de définir la position de la fenêtre et diverses options de gestion de fichier.
lDialogFavoriteTypesHelp2	Créez un raccourci vers un "Document".`n`nChoisissez le nom, l'emplacement et diverses options pour le menu.`n`nLes réglages avancés permettent de choisir l'application qui lancera ce document, d'ajouter des paramètres optionels et de définir la position de la fenêtre.
lDialogFavoriteTypesHelp3	Créez un raccourci vers une "Appplication" (programme, batch ou script).`n`nParcourez les dossiers pour choisir le fichier exécutable ou choisissez-le dans la liste déroulante des programmes actifs. Réglez diverses options pour le menu.`n`nLes réglages avancés permettent de choisir le dossier de démarrage de l'application, d'ajouter des paramètres optionels et de définir la position de la fenêtre.
lDialogFavoriteTypesHelp4	Créez un raccourci vers l'un des 50 "Dossiers spéciaux" de Windows tel que: Bibliothèque, Mes Images, Corbeille, Téléchargements, etc.`n`nRéglez diverses options pour le menu. Les réglages avancés permettent de définir la position de la fenêtre et diverses options de gestion de fichier.
lDialogFavoriteTypesHelp5	Créez un raccourci vers un "Lien" vers une page web.`n`nChoisissez le nom pour le menu, l'adresse de la page (URL) et diverses options pour le menu.`n`nLes réglages avancés permettent de choisir le navigateur pour ouvrir ce lien, d'ajouter des paramètres optionels et de définir la position de la fenêtre.
lDialogFavoriteTypesHelp6	Créez un raccourci vers un "Site FTP".`n`nChoisissez le nom pour le menu, l'adresse du site FTP (URL), les nom d'utilisateur et mot de passe ainsi que diverses options pour le menu.`n`nLes réglages avancés permettent de choisir le logiciel pour ouvrir ce site, d'ajouter des paramètres optionels et de définir la position de la fenêtre.`n`nNote: le mot de passe n'est PAS encrypté lorsqu'il est transmis sur Internet.
lDialogFavoriteTypesHelp7	Dans n'importe quel menu, insérez des fonctionnalités de QAP tel que:`n`n- ~1~`n- ~2~`n- ~3~`n- ~4~`n- ~5~`n- etc.
lDialogFavoriteTypesHelp8	Rassemblez des favoris apparentés dans un "Sous-menu".`n`nDonnez un nom à ce sous-menu et sélectionnez diverses options.`n`nAjoutez des favoris à votre sous-menu ou déplacez-les à partir d'autres menus ou groupes avec le bouton "Modifier".
lDialogFavoriteTypesHelp9	Lancez un "Groupe" de favoris en un seul raccourci.`n`nDonnez un nom à ce groupe et sélectionnez diverses options.`n`nAjoutez des favoris à votre groupe ou déplacez-les à partir d'autres menus ou groupes avec le bouton "Modifier".`n`nLes Réglages avancés permettent de contrôle la vitesse de restauration en insérant un délai entre chaque favori à restaurer.
lDialogFavoriteTypesLabels	&Dossier|D&ocument|&Application|Dossier &spécial|&Lien|Site &FTP|Fonctionnalité &QAP|Sous-&menu|&Groupe
lDialogFavoriteTypesLocationLabels	Dossier (emplacement)|Document (emplacement et nom de fichier)|Application (emplacement et nom de fichier||Lien (URL)|Site FTP (URL)||||||
lDialogFavoriteTypesShortNames	Dossier|Doc|App|Spécial|Lien|FTP|QAP|Menu|Groupe|Separateur|Colonne|..
lDialogFileLabel	Document
lDialogFolderLabel	Dossier
lDialogGetWinInfo	Pour identifier la fenêtre dont vous voulez obtenir le titre et la classe, cliquez dans la fenêtre désirée avec le raccouricis de menu de QAP [~1~].
lDialogGetWInInfo2Clippoard	Titre de la fenêtre:`n"~1~"`n`nClasse:`n"~2~"`n`nCopier ces informations dans le Presse-papiers?
lDialogHotkeys	Raccourcis
lDialogHotkeysManageAbout	Raccourcis actuellement actifs dans ~1~
lDialogHotkeysManageAlternative	Alternatif
lDialogHotkeysManageAlternativeMenu	Menu Alternatif
lDialogHotkeysManageIntro	Faites un double-clic sur un favori pour changer son raccourci.
lDialogHotkeysManageListHeader	Menu|Nom du favori|Type|Raccourci|Emplacement du favori
lDialogHotkeysManageListSeeAllFavorites	Voir tous les favoris
lDialogHotkeysManageListSeeShortHotkeyNames	Voir les noms abrégés des raccourcis
lDialogHotkeysManagePopup	Popup
lDialogHotkeysManageTitle	Gérer les raccourcis - ~1~ ~2~
lDialogIcon	Icône
lDialogInvalidHotkey	Avec votre configuration actuelle de clavier, la touche de raccourci "~1~" ne peut être utilisée comme un déclencheur pour le menu popup.`n`nVeuillez ouvrir la fenêtre "Paramètres" dans la zone de notification et cliquez sur "Options". Dans cette boîte de dialogue, choisissez une autre touche de raccourci pour "~2~".
lDialogInvalidHotkeyFavorite	Avec votre configuration actuelle de clavier, la touche de raccourci "~1~" ne peut être utilisée pour l'emplacement "~2~".`n`nVeuillez choisir une autre touche de raccourci pour l'emplacement "~2~".
lDialogKeyboard	Clavier
lDialogLaunchWith	Lancer avec cette application
lDialogMaximized	Maximisée
lDialogMenuNotMoveUnderItself	Le menu "~1~" ne peut être déplacé sous lui-même.
lDialogMinimized	Minimisée
lDialogMouse	Souris
lDialogMouseButtonsText	Bouton de gauche de la souris|Bouton du milieu de la souris|Bouton de droite de la souris|Bouton spécial 1 de la souris|Bouton spécial 2 de la souris|Molette vers le haut|Molette vers le bas|Molette à gauche|Molette à droite|
lDialogMouseCheckLButton	Vous ne pouvez pas attribuer le "Bouton de gauche de la souris" sans touche de modification`n(comme les touches ~1~, ~2~, ~3~ ou ~4~).
lDialogMoveFavoritesTitle	Déplacer des favori - ~1~ ~2~
lDialogNone	Aucun
lDialogNormal	Normal
lDialogOK	OK
lDialogOpenThisMenu	Ouvrir ce menu
lDialogOr	ou
lDialogRemoveMultipleFavorites	Voulez-vous vraiement supprimer ~1~ favoris ou sous-menus?
lDialogSelectIcon	Sélectionnez l'icône
lDialogSelectItemToAdd	Sélectionnez l'item à ajouter
lDialogSelectItemToEdit	Veuillez sélectionner l'item à modifier.
lDialogSelectItemToMove	Veuillez sélectionner l'item à déplacer.
lDialogSelectItemToRemove	Veuillez sélectionner l'item à supprimer.
lDialogShift	Maj
lDialogShortcut	Raccourci
lDialogSpacebarTab	choisissez <a id="Space">Espace</a> ou <a id="Tab">tab</a>
lDialogState	État de la fenêtre:
lDialogSubmenuNameEmpty	Le nom du sous-menu est vide. Veuillez indiquer un nom court pour ce menu.
lDialogSubmenuParentMenu	Menu contenant ce sous-menu
lDialogTabNext	Suite
lDialogThirdPartyDetected	~1~ a détecté que ~2~ est installé sur votre ordinateur.`n`nVoulez-vous activer l'intégration avec ~2~?
lDialogTriggerFor	Déclencheur pour:
lDialogUseDefaultWindowPosition	Utiliser la position de fenêtre par défaut
lDialogWin	Windows
lDialogWindowPosition	Position de la fenêtre:
lDialogWindowPositionDelay	Délai
lDialogWindowPositionH	Hauteur
lDialogWindowPositionLeft	Gauche
lDialogWindowPositionMayFail	Note: pour diverses raisons, QAP peut échouer à déplacer ou redimensionner certaines fenêtres.
lDialogWindowPositionRight	Droite
lDialogWindowPositionW	Largeur
lDialogWindowPositionX	Gauche
lDialogWindowPositionY	Haut
lDialogWindowsFolderIconCreate	créer
lDialogWindowsFolderIconNoRoot	Il n'est pas permis de changer l'icône de dossier de Windows dans le dossier racine d'un disque (~1~).
lDialogWindowsFolderIconPrompt	Cette commande va ~1~ le fichier système:`n~2~`n`nL'icône de dossier de Windows sera celui actuellement sélectionné pour ce favoris. Voulez-vous continuer?
lDialogWindowsFolderIconRemove	Retirer l'icône de dossier de Windows
lDialogWindowsFolderIconRemoveFile	Cette commande peut aussi SUPPRIMER le fichier système:`n~1~`n`nVoulez-vous redonner à ce dossier son état normal?
lDialogWindowsFolderIconReset	L'icône de dossier de Windows par défaut sera restauré. `n`nVoulez-vous continuer?
lDialogWindowsFolderIconSet	Changer l'icône de dossier de Windows
lDialogWindowsFolderIconUpdate	mettre à jour
lDialogWinShort	Win
lDialogWorkingDirLabel	Démarrer dans
lDonateButton	Soutenez ce gratuiciel!
lDonateCheckPrompt	Vous aimez ~1~?`n`n~1~ n'est pas seulement GRATUIT mais aussi distribué SANS ces attrapes publicitaires dont on ne sait jamais si elles transportent des virus ou encore des logiciels espions ou malveillants.`n`nCela fait maintenant ~2~ fois que ~1~ est lancé pour faciliter votre travail quotidien. Que diriez-vous de soutenir ce gratuiciel à votre tour?
lDonateCheckTitle	~1~ fois! - ~2~
lDonateMenu	Soutenez ce gratuiciel!
lDonatePlatformComment1	La façon la plus flexible avec votre compte PayPal ou votre carte de crédit
lDonatePlatformComment2	Recevez une facture officielle si vous en avez besoin pour un remboursement
lDonatePlatformName1	Avec Paypal
lDonatePlatformName2	Avec Share-it
lDonateReviewNameLeft1	Download.com
lDonateReviewNameLeft2	PortableFreeware.com
lDonateReviewNameLeft3	Softpedia.com
lDonateReviewNameRight1	BetaNews.com
lDonateReviewNameRight2	FileCluster.com
lDonateReviewNameRight3	Freewares && Tutos (FR)
lDonateText1	Soutenez le développement de ~1~ !
lDonateText2	<a href="~1~">Pourquoi soutenir ce gratuiciel?</a>
lDonateText3	... ou soutenez ce gratuiciel gratuitement !
lDonateText4	Rédigez un avis favorable à ~1~ sur :
lDonateText5	Envoyez-moi votre lien
lDonateThankyou	Merci pour cette marque d'appréciation!
lDonateTitle	Soutenez ce gratuiciel! - ~1~ ~2~
lGui2Close	Fermer
lGuiAbout	À propos
lGuiAddFavorite	Ajouter
lGuiCancel	Annuler
lGuiClose	Fermer
lGuiDonate	Soutien
lGuiDropFilesHelp	Aide glisser-déposer
lGuiDropFilesIncentive	Vous pouvez "glisser-déposer" les types de favoris`nsuivants sur la fenêtre de ~1~:`n`n- ~2~`n- ~3~`n- ~4~
lGuiEditFavorite	Modifier
lGuiGroupClosing	Fermeture des fenêtres de l'Explorateur
lGuiGroupRestoreDelay	Délai entre la restauration des favoris:
lGuiGroupRestoreDelayMilliseconds	millisecondes
lGuiGroupRestoreSide	Afficher de quel côté de ~1~?
lGuiGroupSaveAddWindowsLabel	Ajouter aux fenêtres existantes
lGuiGroupSaveReplaceWindowsLabel	Remplacer les fenêtres existantes
lGuiGroupSaveRestoreOption	Lors de la restauration du groupe:
lGuiGroupSaveRestoreWith	Restaurer les dossier avec:
lGuiHelp	Aide
lGuiHotkeysHelp	Aide sur les raccourcis des favoris
lGuiHotkeysHelpText	Flèche Bas: Sélectioner le prochain favori`nFlèche Haut: Sélectioner le favori précédent`n`nEntrée: Modifier un favori`nCtrl-N: Ajouter un favori`nCtrl-C: Copier un favori`nSuppr: Supprimer un ou des favoris`n`nMaj-Haut/Bas: Sélectionner des favori contigus`nCtrl-Clic: Sélectionner des favoris non-contigus`nCtrl-A: Sélectionner tous les favoris`n`nCtrl-Bas: Déplacer un ou des favoris vers le bas`nCtrl-Haut: Déplacer un ou des favoris vers le haut`n`nCtrl-Droite: Ouvrir un sous-menu`nCtrl-Gauche: Ouvrir le sous-menu contenant ce menu
lGuiLoginName	Code d'utilisateur
lGuiLvFavoritesHeader	Nom|Type|Emplacement
lGuiMove	Déplacer
lGuiOptions	Options
lGuiPassword	Mot de passe
lGuiPasswordNotEncripted	Note: Le mot de passe ne sera PAS encrypté lorsqu'il sera transmis sur Internet.
lGuiRemoveFavorite	Supprimer
lGuiResetDefault	Restaurer le raccourci par défaut
lGuiSave	Enregistrer
lGuiSubmenuDropdownLabel	Menu à modifier:
lGuiTitle	Paramètres - ~1~ ~2~
lHelpTabAddingFavorite	Ajouter des favoris
lHelpTabGettingStarted	Premier pas
lHelpTabQAPFeatures	Fonctionnalités QAP
lHelpTabTipsAndTricks	Trucs et astuces
lHelpText11	Au lancement de FoldersPopup, une icône attend vos ordres dans la zone de Notifications. Lorsque vous voudrez ouvrir une de vos DOSSIERS, DOCUMENTS, APPLICATIONS, SITES WEB ou FTP favoris, appuyez sur les raccourcis QAP [~1~] ou [~2~] pour qu'un menu popup affiche vos favoris.
lHelpText12	Lorsque vous sélectionnez un DOSSIER favori dans l'Explorateur de fichiers ou une boîte de dialogue*, Quick Access Popup vous y mène instantanément! * Cette fonctionnalité doit être activée dans les  Options.
lHelpText13	Pour forcer l'ouverture du favori dans une nouvelle fenêtre, appuyez sur les raccourcis du menu Alternatif [~1~] ou [~2~]. Dans le menu Alternatif, selectionnez "Ouvrir dans une nouvelle fenêtre", puis choisissez le dossier désiré. Le menu Alternatif offre plusieurs autres fonctionnalités.
lHelpText14	Choisissez "Réglages" pour personnaliser votre menu Quick Access Popup. Vous pouvez ajouter des favoris à votre menu. Vous pouvez les déplacer, renommer, supprimer. Vous pouvez aussi ajouter des SOUS-MENUS ou des GROUPES. Chosissez "Menu ou groupe à modifier:" dans la liste déroulante. Cliquez sur "Enregistrer" pour conserver vos changements.
lHelpText21	Pour ajouter des favoris, dans la fenêtre "Réglages", cliquez sur le bouton "Ajouter". Sélectionnez le type du nouveau favori et consultez les conseils dans la partie droite de la fenêtre. Cliquez "Poursuivre" pour ouvrir la boîte de dialogue "Ajouter un favori".
lHelpText22	Dans les quatre onglets de la boîte de dialogue "Ajouter un favori", entrez les "Réglages de base", "Options du menu", "Options de fenêtres" et "Réglages avancés". Cliquez sur "Ajouterpour insérer le favori dans votre menu et sur "Enregistrer" dans la fenêtre "Réglages".
lHelpText23	AJOUTER CE DOSSIER`n`nPour AJOUTER rapidement un nouveau DOSSIER favori au menu:`n1) Ouvrez un dossier souvent consulté.`n2) Appuyez sur [~1~] ou [~2~], choisissez le menu "Mes Fonctions QAP" et cliquez sur "Ajouter ce dossier".`n3) Donnez au menu un nom court, cliquez sur "Ajouter", puis sur "Enregistrer" dans la fenêtre "Réglages".
lHelpText31	Dans le menu "Mes Fonctions QAP":
lHelpText32	- Choisissez le menu "Dossiers récents..." pour afficher une liste des dossiers récents de Windows.`n- Utilisez le menu "Réutiliser un dossier ouvert" pour rouvrir un des dossiers déjà ouvert dans l'Explorateur de fichiers (très utilie dans une boîte de dialogue de fichier).`n- Ouvrez un emplacement de fichier ou un site web dont l'adresse est dans votre Presse-Papiers avec le menu "Presse-papiers".
lHelpText33	PERSONNALISEZ VOTRE MENU DES FONCTIONS QAP`n`nVous pouvez déplacer les rubriques du menu "Mes fonctions QAP" vers le menu principal ou d'autres sous-menus. `n`n1) Sélectionnez le menu "Réglages" (ou appuyez sur [~1~]).`n2) Dans la liste déroulante "Menu ou groupe à modifier:", sélectionnez "Principal > Mes Fonctions QAP".`n3) Sélectionnez la fonction QAP à déplacer et cliquez "Modifier".`n4) Dans l'onglet "Options de menu", sélectionnez "Insérer le nouveau favori dans ce menu".`n5) Enregistrez vos changements.
lHelpText41	- Utilisez l'icône de Quick Access Popup dans la zone de Notification (en bas à droite de l'écran de Windows) de l'une des trois façons suivantes:`n1) Cliquez l'icône avec le bouton de gauche pour afficher le menu popup de QAP.`n2) Cliquez avec le bouton de droite pour ouvrir le menu système de QAP.`n3) Double-cliquez l'icône pour afficher la fenêtre "Réglages".
lHelpText42	- Dans la zone de Notifications, cliquez sur l'icône de Quick Access Popup avec le bouton de droite et sélectionnez "Exécuter au démarrage" pour lancer QAP au démarrage de Windows.
lHelpText43	- Configurez les déclencheurs du menu popup de Quick Access Popup: choisissez votre bouton de souris préféré ou votre raccourci clavier dans les "Réglages, Options, Déclencheurs".
lHelpText44	- Aussi dans les "Options": choisissez votre langue d'utilisation, la taille des icônes de menu, les couleurs des fenêtres. Décidez du nombre des "Emplacements récents" à afficher, de l'affiche des raccourcis clavier numériques ou des rappels des raccourcis de favoris. Fixez le menu popup à une position de votre choix ou mémorisez la position de la fenêtre des "Réglages".
lHelpText45	- Utilisateurs de Directory Opus, consultez <a href="http://www.quickaccesspopup.com/how-to-i-enable-directory-opus-support-in-quick-access-popup/">cette page</a> (en anglais) pour des renseignements additionnels.`n-Utilisateurs de Total Commander, consultez <a href="">cette page</a> (en anglais) pour plus de renseignements. Utilisateurs d'autres gestionnaires de fichiers, consultez <a href="http://www.quickaccesspopup.com/what-file-managers-are-supported-in-addition-to-windows-explorer/">cette page</a> pour des renseignements sur QAPconnect.
lHelpTextLead	Avec Quick Access Popup, navigez en un clin d'oeil parmi vos dossiers, pages web et documents favoris!
lHelpTitle	Aide - ~1~ ~2~
lMainMenuName	Principal
lMenuAbout	À propos
lMenuAddFavorite	Ajouter un favori
lMenuAddThisFolder	Ajouter ce dossier au menu
lMenuAlternativeEditFavorite	Modifier un favori
lMenuAlternativeNewWindow	Ouvrir dans une nouvelle fenêtre
lMenuAppData	Application Data
lMenuCache	Cache
lMenuClipboard	Presse-papiers
lMenuColumnBreak	colonne
lMenuCommonAppData	Application Data (commun)
lMenuCommonDesktop	Bureau (commun)
lMenuCommonStartMenu	Menu Démarrer (commun)
lMenuCommonStartupMenu	Démarrage (commun)
lMenuCookies	Cookies
lMenuCopyLocation	Copier l'emplacement d'un favori
lMenuCurrentFolders	Rouvrir un des dossiers actifs
lMenuDesktop	Bureau
lMenuDownloads	Téléchargements
lMenuEditIniFile	Modifier ~1~
lMenuExitApp	Quitter ~1~
lMenuFavoritesInternet	Favoris (Internet)
lMenuFonts	Polices
lMenuGetWinInfo	Lire le titre et la classe d'une fenêtre
lMenuHelp	Aide
lMenuHistory	Historique
lMenuMenu	Menu
lMenuMyMusic	Ma musique
lMenuMyQAPMenu	Mes Fonctions QAP
lMenuMySpecialMenu	Mes Dossiers spéciaux
lMenuMyVideo	Mes vidéos
lMenuNoClipboard	Le Presse-papiers ne contient aucun emplacement de fichier ou d'URL
lMenuNoCurrentFolder	Aucun dossier ouvert actuellement…
lMenuPictures	Images
lMenuProgramFiles	Programmes
lMenuProgramsFolderStartMenu	Dossier Programmes (menu Démarrer)
lMenuPublicLibraries	Bibliothèques (public)
lMenuQuickLaunch	Lancement rapide
lMenuRecentFolders	Emplacements récents
lMenuRecentItems	Documents récents
lMenuRefreshRecent	Actualisation des dossiers récents en cours
lMenuRunAtStartup	Exécuter au démarrage
lMenuSettings	Paramètres
lMenuStartMenu	Menu Démarrer
lMenuStartup	Démarrage
lMenuSuspendHotkeys	Suspendre les déclencheurs (Hotkeys)
lMenuSystemCertificates	Certificats système
lMenuTemplates	Modèles
lMenuTemporaryFiles	Fichiers temporaires
lMenuUpdate	Vérifier la mise à jour
lMenuUserFolder	Dossier de l'utilisateur
lMenuUserPinned	Epinglé par l'utilisateur
lNavigateFileError	Une erreur s'est produite lors de l'ouverture du dossier:`n~1~.
lNavigateSpecialError	Une erreur s'est produite lors de l'ouverture du dossier spécial #~1~.
lOopsCannotCopyFavorite	Les favoris de type "~1~" ne peuvent pas être copiés.
lOopsCouldNotOpenSpecialFolder	~1~ ne peut ouvrir le dossier spécial: "~2~".
lOopsFtpLocationProtocol	L'emplacement d'un site FTP doit débuter par "ftp://".
lOopsGroup	groupe
lOopsHotkeyAlreadyUsed	Le raccourci "~1~" est déjà utilisé pour l'emplacement ~2~.`n`nVeuillez choisis un autre raccourci pour ~3~.
lOopsHotkeyNotInMenus	Erreur: l'emplacement "~1~" pour le raccourci "~1~" est introuvable dans les menus.
lOopsHttpLocationTransformed	L'emplacement HTTP (format URL) a été converti en chemin réseau (format UNC) afin d'être compatible avec l'Explorateur Windows:`n`n~1~`n~2~
lOopsInvalidWindowPosition	Valeur(s) de position de la fenêtre invalide
lOopsLaunchWithNotFound	Le fichier de l'application "Lancer avec cette application" est introuvable:`n`n~1~`n`nVérifiez les réglages avancés ce ce favori.
lOopsLocation	emplacement
lOopsOSVerrsionError	~1~ nécessite Window 7 ou une version plus récente du système d'exploitation. Les utilisateurs de Windows Vista et XP sont invités à utiliser Folders Popup qui est compatible avec ces versions.`n`nVoulez-vous visiter le site web de Folders Popup?
lOopsQAPfeature	Fonctions de QAP
lOopsTitle	~1~ (~2~)
lOopsWriteProtectedError	Il semble que ~1~ a été lancé depuis un dossier en ÉCRITURE SEULEMENT où il est impossible de créer le fichier de configuration "~1~.ini".`n`nDéplacez le fichier .EXE de ~1~ dans un dossier RÉGULIER de votre choix, puis exécutez l'application à nouveau depuis ce dossier.`n`n~1~ va être fermé.
lOopsWrongThirdPartyPath	Chemin ou nom de fichier incorrect pour ~1~:`n~2~.`n`nVérifiez le fichier .exe sélectionné pour ~1~ dans les "Options", onglet "~3~".
lOopsWrongThirdPartyPathQAPconnect	Fichier de l'application invalide dans QAPconnect`n~1~:`n~2~.`n`nVérifiez les valeurs pour [~1~] dans ~3~. Utilisez le bouton "~4~" dans "Options", onglet "~5~".
lOopsZipFileError	Il semble que ~1~ a été lancé directement depuis un fichier compressé (ZIP).`n`nVous devez extraire le fichier .EXE de ~1~ du fichier ZIP dans un dossier de votre choix, puis exécuter l'application à nouveau depuis ce dossier.`n`n~1~ va être fermé.
lOptionsAlternativeMenuFeatures	Menu Alternatif
lOptionsAlternativeMenuFeaturesIntro	Choisisez les raccourcis des fonctionnalités du menu Alternatif.
lOptionsChangeFolderInDialog	Changer de dossier dans les boîtes de dialogue`navec les raccourcis QAP
lOptionsChangeFolderInDialogCheckbox	Cliquez cette case à cocher pour confirmer que vous comprenez les conséquences d'essayer de changer de dossier dans une boîte de dialogue inappropriée.
lOptionsChangeFolderInDialogText	Activez cette option pour permettre le changement de dossier dans les boîtes de dialogue (Ouvrir, Enregistrer sous, etc.) mais veuillez lire cet avertissement.`n`nVous devez utiliser cette fonction SEULEMENT dans les boîtes de dialogue de sélection de fichier. Si vous l'utilisez dans d'autres types de boîtes de dialogue, par exemple dans une fenêtre "Options", essayer de changer de dossier pourrait modifier et enregistrer des valeurs sans préavis.
lOptionsChangeHotkey	Modifier
lOptionsCheck4Update	Vérifier la mise à jour
lOptionsDisplayIcons	Afficher les icônes des menus
lOptionsDisplayMenuShortcuts	Afficher les raccourcis numériques
