lAboutText1	~1~ ~2~ (~3~ bit)
lDialogAddEditFavoriteTitle	~1~ Favoriten: ~4~ - ~2~ ~3~
lDialogAddFavoriteSelectTitle	Favorit hinzufügen - ~1~ ~2~
lDialogAddFavoriteTabs	Grundeinstellungen|Menü-Optionen|Fenster-Optionen|Fortgeschrittene Optionen
lDialogAddFileSelect	Neue Datei wählen:
lDialogAddFolderManuallyPrompt	Entschuldigung, der aktuelle Ordner kann in dieser Art von Fenster nicht ermittelt werden.`n`nWollen Sie einen Ordnerfavoriten von Hand hinzufügen?
lDialogAddFolderManuallyTitle	Diesen Dokumente hinzufügen - ~1~ ~2~
lDialogAddFolderSelect	Auswählen oder Erstellen des neuen Ordners:
lDialogAlt	Alt
lDialogApplicationLabel	Anwendung
lDialogArgumentsLabel	Parameter
lDialogArgumentsLabelHelp	(falls nötig, setzen Sie jeden Parameter in Anführungszeichen)
lDialogArgumentsPlaceholders	Sie können den Ort dieses Favoriten oder Teile davon mit Hilfe dieser Platzhalter im Parameter setzen: {LOC} (kompletter Ort), {NAME} (Dateiname), {DIR} (Verzeichnis), {EXT} (Dateiendung), {NOEXT} (Dateiname ohne Dateiendung) oder {DRIVE} (Laufwerk)
lDialogArgumentsPlaceholdersCheckLabel	Aktuelle Parameter mit erweiterten Platzhaltern
lDialogBrowseButton	Durchsuchen
lDialogBrowseOrSelectApplication	Suchen nach einer ausführbaren Datei oder`nauswählen einer laufenden Anwendung aus dieser Liste
lDialogCancelButton	Abbrechen
lDialogCancelPrompt	Änderungen verwerfen?
lDialogCancelTitle	Abbrechen - ~1~ ~2~
lDialogChangeHotkeyAlternative	Dies ist ein alternatives Tastenkürzel für das Menü.`n`nWollen Sie "~1~" in "~2~" verwalten?
lDialogChangeHotkeyNote	Hinweis: Der Ort "~1~" wird in allen Menüs mit der neuen Kurztaste verknüpft.
lDialogChangeHotkeyPopup	Dies ist ein Tastenkürzel für das popup-Menü.`n`nWollen Sie "~1~" in "~2~" verwalten?
lDialogChangeHotkeyTitle	Tastenkürzel ändern - ~1~ ~2~
lDialogContinue	Weiter
lDialogCopy	Kopieren
lDialogCtrl	Steuerung
lDialogCtrlShort	Strg
lDialogEdit	Bearbeiten
lDialogEditIcon	Icon-Resource bearbeiten`n`nShift-Hoch/Runter
lDialogEditIconPrompt	Bearbeiten Sie die Icon-Resource im Format "iconfile,index" (Beispiel: "shell32.dll,2"):
lDialogEndOfMenu	Ende des Menüs
lDialogErrorMoving	Kann Größe des Favoriten nicht ändern:`n"~1~"
lDialogFavoriteDoesNotExistPrompt	Der Favorit "~1~"~2~ existiert nicht oder ist nicht verfügbar.`n`nLiegt dieser Favorit auf einer Netzwerkfreigabe, versuchen Sie es nach erfolgter Netzwerk-Autentifizierung erneut.
lDialogFavoriteDoesNotExistTitle	Favorit existiert nicht - ~1~
lDialogFavoriteDropdownEmpty	Bitte wählen Sie ein Element in der ~1~ Drop-Down Liste.
lDialogFavoriteLocationEmpty	Dieser Ort ist leer. Bitte wählen Sie einen Ort.
lDialogFavoriteMenuPosition	neuen Favoriten vor diesem Element einfügen
lDialogFavoriteNameEmpty	Der Name des Favorite ist leer. Bitte wählen Sie einen kurzen Namen.
lDialogFavoriteNameNoSeparator	Dieses Element darf das reservierte Zeichen "~1~" nicht enthalten.
lDialogFavoriteNameNotAllowed	Favoriten des Typs "~1~" sind nicht in Gruppen erlaubt. Bitte wählen Sie ein anderes Elternmenü in der Registerkarte "Menü Optionen".
lDialogFavoriteNameNotNew	Der Name ~1~ wird bereits in diesem Menü verwendet. Bitte wählen Sie einen anderen Namen.
lDialogFavoriteNameNotNewQAPfeature	Der Name "~1~" wird in diesem Menü bereits verwendet. Bitte benennen Sie den bestehenden Favoriten und versuchen Sie es erneut.
lDialogFavoriteParentMenu	Favoriten Hauptmenü
lDialogFavoriteRemovePrompt	Entfernen des Untermenüs "~1~"`nund ALL seines Inhalts (Ordner und Untermenüs)?
lDialogFavoriteRemoveTitle	Entfernen des Favoriten - ~1~
lDialogFavoriteSelectType	Wählen Sie den Typ des hinzuzufügenden Favoriten.`n`nIm nächsten Fenster vergeben Sie Ihrem Favoriten:`n- einen Namen`n- einen Inhalt (abhängig vom Typ)`n- verschiedene Einstellungen (Icon, Kurztaste, usw.)`n`nWählen Sie den Typ des neuen Favoriten und klicken Sie "~1~".
lDialogFavoriteShortNameLabel	Kurzname für das Menü
lDialogFavoritesParentMenuMove	Verschiebe ~1~ Favoriten in dieses Menü
lDialogFavoriteType	Typ des Favoriten
lDialogFavoriteTypesHelp1	Erstelle einen Shortcut zu einem häufig genutzten "Ordner".`n`nVergeben Sie den Menünamen, Pfad und verschiedene Menüoptionen.`n`nErweiterte Einstellungen erlauben die Festlegung der Fensterposition und Dateimanager-Optionen.
lDialogFavoriteTypesHelp2	Erstelle einen Shortcut zu einem "Dokument".`n`nVergeben Sie den Menünamen, Pfad und verschiedene Menüoptionen.`n`nErweiterte Einstellungen erlauben die Auswahl einer spezifischen Anwendung um das Dokument zu öffnen, optionale Parameter hinzuzufügen und die Fensterposition zu bestimmen.
lDialogFavoriteTypesHelp3	Erstelle einen Shortcut zu einer "Anwendung" (Programm, Batchdatei oder Skript).`n`nSuchen Sie die ausführbare Datei oder wählen Sie eines der laufenden Programme. Setzen Sie verschiedene Menüoptionen.`n`nErweiterte Einstellungen erlauben es einen "Startordner" anzugeben, Parameter hinzuzufügen und die Fensterposition zu bestimmen.
lDialogFavoriteTypesHelp4	Erstelle einen Shortcut zu einem der 50 vordefinierten Windows "Spezialordner" wie: Bibliothek, Eigene Bilder, Papierkorb, Downloads, usw.`n`nSetzen Sie verschiedene Menüoptionen. Erweiterte Einstellungen erlauben es, die Fensterposition und Dateimanager-Optionen zu bestimmen.
lDialogFavoriteTypesHelp5	Erstelle einen "Link" auf eine Webseite.`n`nSetzen Sie den Menünamen, die Webadresse (URL) und verschiedene Menü-Optionen.`n`nErweiterte Einstellungen erlauben die Auswahl eines bestimmten Browsers zum Öffnen des Links, optionale Parameter und die Fensterposition zu bestimmen.
lDialogFavoriteTypesHelp6	Erstelle einen Shortcut zu einem "FTP-Ordner".`n`nSetzen Sie den Menünamen, die Adresse des FTP-Ordners (URL), den Login-Namen, das Passwort und verschiedene Menü-Optionen.`n`nErweiterte Einstellungen erlauben die Auswahl eines bestimmten FTP-Programms zum Öffnen der Seite, Parameter hinzuzufügen, die Fensterposition zu bestimmen und Login-Namen und Passwort anzugeben.`n`nHinweis: Das Passwort ist NICHT VERSCHLÜSSELT, wenn es gesendet wird.
lDialogFavoriteTypesHelp7	Fügen Sie überall in Ihrem Menü "Quick Access Popup Features" wie:`n`n- ~1~`n- ~2~`n- ~3~`n- ~4~`n- ~5~`n- usw. ein.
lDialogFavoriteTypesHelp8	Sammeln Sie zusammengehörige Favoriten in einem "Untermenü".`n`nVergeben Sie einen Namen für das Untermenü und wählen Sie Menü-Optionen.`n`nFügen Sie Favoriten hinzu oder verschieben Sie diese mit dem Schalter "Bearbeiten" aus anderen Untermenüs oder Gruppen.
lDialogFavoriteTypesHelp9	Starten Sie eine ganze "Gruppe" von Favoriten mit nur einem Shortcut!`n`nVergeben Sie einen Gruppennamen und setzen Sie verschiedene Optionen für die Gruppe.`n`nFügen Sie Favoriten hinzu oder verschieben Sie diese mit dem Schalter "Bearbeiten" aus anderen Untermenüs oder Gruppen.`n`nErweiterte Einstellungen erlauben es, durch Angabe von Verzögerungen zwischen den Aufrufen die Geschwindigkeit zu optimieren.
lDialogFavoriteTypesLabels	&Ordner|&Dokument|&Anwendung|&Systemordner|&Link|F&TP Seite|&QAP Feature|Unter&menü|&Gruppe
lDialogFavoriteTypesLocationLabels	Ordner (Pfad)|Dokument (Pfad und Dateiname)|Anwendung (Pfad und Dateiname)||Link (URL)|FTP Seite (URL)||||||
lDialogFavoriteTypesShortNames	Ordner|Dok|Anw|Spezial|Link|FTP|QAP|Menü|Gruppe|Trenner|Spaltenumbruch|..
lDialogFileLabel	Dokumente
lDialogFolderLabel	Ordner
lDialogGetWinInfo	Zur Identifizierung des Titels und der Klasse des Fensters, klicken Sie im Zielfenster mit dem QAP Menü-Hotkey [~1~].
lDialogGetWInInfo2Clippoard	Fenstertitel:`n"~1~"`n`nKlasse:`n"~2~"`n`nInformationen in die Zwischenablage kopieren?
lDialogHotkeys	Tastenkürzel
lDialogHotkeysManageAbout	Tastenkürzel zur Zeit aktiv in ~1~
lDialogHotkeysManageAlternative	Alternativ
lDialogHotkeysManageAlternativeMenu	Alternatives Menü
lDialogHotkeysManageIntro	Doppelklicken Sie auf eine Zeile, um deren Tastenkürzel zu ändern.
lDialogHotkeysManageListHeader	Menü|Favoritenname|Typ|Tastenkürzel|Ort des Favoriten
lDialogHotkeysManageListSeeAllFavorites	Alle Favoriten sehen
lDialogHotkeysManageListSeeShortHotkeyNames	Zugewiesene Hotkey-Namen anzeigen
lDialogHotkeysManagePopup	Popup
lDialogHotkeysManageTitle	Hotkeys verwalten - ~1~ ~2~
lDialogIcon	Favorite Icon
lDialogInvalidHotkey	Mit dem derzeitigen Tastaturlayout kann das Tastenkürzel "~1~" nicht verwendet werden, um das Popup-Menü aufzurufen (kein gültiger Tastenname).`n`nBitte öffnen Sie das "~2~ Einstellungen" aus dem Tray-Menü und klicken Sie auf "Optionen". Wählen Sie in diesem Dialog ein anderes Tastenkürzel für "~3~".
lDialogInvalidHotkeyFavorite	Mit Ihrem derzeitigen Tastaturlayout kann der Hotkey "~1~" nicht als Trigger für den Ort "~2~" verwendet werden (kein gültiger Schlüsselname).`n`nBitte wählen Sie einen anderen Shortcut für den Ort "~2~".
lDialogKeyboard	Tastatur
lDialogLaunchWith	Mit dieser Anwendung starten
lDialogMaximized	Maximiert
lDialogMenuNotMoveUnderItself	Menü "~1~" kann nicht in sich selbst verschoben werden
lDialogMinimized	Minimiert
lDialogMouse	Maus
lDialogMouseButtonsText	Linke Maustaste|Mittlere Maustaste|Rechte Maustaste|Spezialtaste 1|Spezialtaste 2|Mausrad Hoch|Mausrad Runter|Mausrad Links|Mausrad Rechts|
lDialogMouseCheckLButton	Sie können die "Linke Maustaste" nicht ohne Zusatztaste belegen`n(wie ~1~, ~2~, ~3~ oder ~4~ Tasten).
lDialogMoveFavoritesTitle	Favoriten verschieben - ~1~ ~2~
lDialogNone	Keine
lDialogNormal	Normal
lDialogOK	OK
lDialogOpenThisMenu	Dieses Menü öffnen
lDialogOr	oder
lDialogRemoveMultipleFavorites	Wollen Sie wirklich ~1~ entfernen?
lDialogSelectIcon	Icon auswählen
lDialogSelectItemToAdd	Wählen Sie das hinzuzufügende Element
lDialogSelectItemToEdit	Bitte wählen Sie das zu bearbeitende Element.
lDialogSelectItemToMove	Bitte wählen Sie das zu verschiebende Element.
lDialogSelectItemToRemove	Bitte wählen Sie das zu entfernende Element.
lDialogShift	Shift
lDialogShortcut	Shortcut
lDialogSpacebarTab	wählen Sie <a id="Space">Leertaste</a> oder <a id="Tab">Tabulator</a>
lDialogState	Fensterstatus:
lDialogSubmenuNameEmpty	Kein Name für das Untermenü angegeben. Bitte Namen vergeben.
lDialogSubmenuParentMenu	Untermenü Elternmenü
lDialogTabNext	Nächste
lDialogThirdPartyDetected	~1~ hat festgestellt, dass ~2~ auf diesem System installiert ist.`n`nWollen Sie die ~2~ Integration einschalten?
lDialogTriggerFor	Trigger for:
lDialogUseDefaultWindowPosition	Verwende die Standard-Fensterposition
lDialogWin	Fenster
lDialogWindowPosition	Fensterposition:
lDialogWindowPositionDelay	Verzögerung
lDialogWindowPositionH	Höhe
lDialogWindowPositionLeft	Links
lDialogWindowPositionMayFail	Hinweis: QAP kann aus verschiedenen Gründen u.U. einige Fenster evtl. nicht verschieben oder in der Größe ändern.
lDialogWindowPositionRight	Rechts
lDialogWindowPositionW	Breite
lDialogWindowPositionX	Links
lDialogWindowPositionY	Oben
lDialogWindowsFolderIconCreate	erzeugen
lDialogWindowsFolderIconNoRoot	Das Ordnersymbol des Fensters kann nicht im Hauptverzeichnis des Verzeichnisses gesetzt werden (~1~).
lDialogWindowsFolderIconPrompt	Dieser Befehl wird die Systemdatei ~2~ ~1~`n`nDas Ordnersymbol dieses Fensters wird auf das aktuell gewählte Favoritensymbol gesetzt. Wollen Sie fortfahren?
lDialogWindowsFolderIconRemove	Ordnersymbol dieses Fensters entfernen
lDialogWindowsFolderIconRemoveFile	Dieser Befehl kann auch die Systemdatei:`n~1~ LÖSCHEN`n`nWollen Sie diesen Ordner in dessen Ursprungszustand versetzen?
lDialogWindowsFolderIconReset	Das Ordnersymbol wird auf den Standard zurückgesetzt. `n`nWollen Sie fortfahren?
lDialogWindowsFolderIconSet	Ordnersymbol des Fensters setzen
lDialogWindowsFolderIconUpdate	Update
lDialogWinShort	Win
lDialogWorkingDirLabel	Starte in
lDonateButton	Unterstützen Sie Freeware!
lDonateCheckPrompt	Sind Sie zufrieden mit ~1~?`n`n~1~ ist nicht nur kostenlos, sondern enthält auch keine Werbung, bei der Sie nie wissen, ob diese Spyware oder Schadsoftware enthält.`n`n~2~ mal bisher, hat Ihnen ~1~ bei der täglichen Arbeit geholfen. Wie wär's jetzt mit ein wenig Unterstützung für Freeware?
lDonateCheckTitle	~1~ mal! - ~2~
lDonateMenu	Unterstützen Sie Freeware!
lDonatePlatformComment1	Die flexibelste Möglichkeit ist Ihr PayPal-Konto oder Ihre Kreditkarte zu nutzen
lDonatePlatformComment2	Sie könen eine offizielle Rechnung für die Steuer bekommen
lDonatePlatformName1	Mit Paypal
lDonatePlatformName2	Mit Share-it
lDonateReviewNameLeft1	Download.com
lDonateReviewNameLeft2	PortableFreeware.com
lDonateReviewNameLeft3	Softpedia.com
lDonateReviewNameRight1	BetaNews.com
lDonateReviewNameRight2	FileCluster.com
lDonateReviewNameRight3	Freewares && Tutos (FR)
lDonateText1	Unterstützen Sie die Entwicklung von ~1~ !
lDonateText2	<a href="~1~">Warum sollte ich Freeware unterstützen?</a>
lDonateText3	... oder unterstützen Sie Freeware umsonst!
lDonateText4	Schreiben Sie eine gute Beurteilung über ~1~ auf:
lDonateText5	Schicken Sie mir Ihren Link
lDonateThankyou	Vielen Dank für die Unterstützung von Freeware!
lDonateTitle	Unterstützen Sie Freeware! - ~1~ ~2~
lGui2Close	Schliessen
lGuiAbout	Über
lGuiAddFavorite	Hinzufügen
lGuiCancel	&Abbrechen
lGuiClose	&Schliessen
lGuiDonate	Unterstützen
lGuiDropFilesHelp	Drag & Drop Hilfe
lGuiDropFilesIncentive	Sie können folgende Favoritentypen per Ziehen und Ablegen`nin das ~1~ Fenster verschieben:`n`n- ~2~`n- ~3~`n- ~4~
lGuiEditFavorite	Bearbeiten
lGuiGroupClosing	Schliesse Explorer-Fenster
lGuiGroupRestoreDelay	Verzögerung zwischen Favoriten wiederherstellen:
lGuiGroupRestoreDelayMilliseconds	Millisekunden
lGuiGroupRestoreSide	Auf welcher Seite von ~1~ anzeigen?
lGuiGroupSaveAddWindowsLabel	Zu bestehendem Fenster hinzufügen
lGuiGroupSaveReplaceWindowsLabel	Ersetze bestehende Fenster
lGuiGroupSaveRestoreOption	Wenn diese Gruppe wiederhergestellt wird:
lGuiGroupSaveRestoreWith	Ordner wiederherstellen mit:
lGuiHelp	Hilfe
lGuiHotkeysHelp	Favoriten Shortcuts Hilfe
lGuiHotkeysHelpText	Runter: Nächster Favorit`nRauf: Vorhergehender Favorit`nStrg-N: Neuen Favoriten hinzufügen`nEnter: Favorit bearbeiten`n`nShift-Rauf/Runter: Zusammenhängende Favoriten auswählen`nStrg-Click: Unzusammenhängende Favoriten auswählen`nStrg-A: Alle Favoriten auswählen`n`nStrg-Runter: Favorit(en) nach unten verschieben`nStrg-Hoch: Favorit(en) nach Oben verschieben`nEntf: Favorit(en) entfernen`n`nStrg-Rechts: Untermenü öffnen`nStrg-Links: Elternmenü öffnen
lGuiLoginName	Login-Name
lGuiLvFavoritesHeader	Name|Typ|Ort
lGuiMove	Verschieben
lGuiOptions	Optionen
lGuiPassword	Passwort
lGuiPasswordNotEncripted	Hinweis: Das Passwort ist NICHT VERSCHLÜSSELT, wenn es gesendet wird.
lGuiRemoveFavorite	Entfernen
lGuiResetDefault	Zurücksetzen des Standard-Hotkeys
lGuiSave	&Speichern
lGuiSaveToUpdateBacklinks	Speichern zum Aktualisieren von Links
lGuiSubmenuDropdownLabel	Zu bearbeitendes Menü oder Gruppe:
lGuiTitle	Einstellungen - ~1~ ~2~
lHelpTabAddingFavorite	Favoriten hinzufügen
lHelpTabGettingStarted	Anfangen
lHelpTabQAPFeatures	QAP Funktionen
lHelpTabTipsAndTricks	Tips und Tricks
lHelpText11	Beim Start erscheint ein Icon im System-Tray und Quick Access Popup erwartet Ihre Befehle. Wenn Sie einen Ihrer favorisierten ORDNER, DOKUMENTE, ANWENDUNGEN, WEBLINKS oder FTP-SEITEN aufrufen wollen, verwenden Sie die QAP Tastenkürzel [~1~] oder [~2~] und wählen Sie den gewünschten Favoriten.
lHelpText12	Wenn Sie einen bevorzugten ORDNER im Windows Explorer oder einer Dateidialogbox* öffnen, navigiert Quick Access Popup sofort in diesen Ordner! * Diese Funktion muss in den Einstellungen aktiviert sein.
lHelpText13	Um das Öffnen in einem neuen Fenster zu erzwingen, verwenden Sie die alternativen Tastenkürzel [~1~] oder [~2~]. Im Alternativ-Menü wählen Sie "In neuem Fenster öffnen" und dann den gewünschten Ordner. Das Alternative-Menü bietet noch weitere Funktionen.
lHelpText14	Wählen Sie "Einstellungen" zur Konfiguration Ihres Quick Access Popup Menüs. Sie können Favoriten zu Ihrem Menü hinzufügen. Sie können sie verschieben, umbenennen oder löschen. Sie können ebenfalls UNTERMENÜS oder GRUPPEN hinzufügen. Wählen Sie "Menü oder Gruppe bearbeiten:" in der Auswahlliste. Klicken Sie auf "Speichern" um die Änderungen zu behalten.
lHelpText21	Um Favoriten hinzuzufügen klicken Sie im Fenster "Einstellungen" auf "Hinzufügen". Wählen Sie den Typ des neuen Favoriten und beachten Sie die Hinweise im rechten Bereich des Fensters. Klicken Sie auf "Weiter" um die "Favoriten hinzufügen" Dialogbox anzuzeigen.
lHelpText22	In den vier Registerkarten der Dialogbox "Favoriten hinzufügen" werden "Grundeinstellungen", "Menü-Optionen", "Fenster-Optionen" und "Erweiterte Optionen" eingegeben. Klicken Sie auf "Hinzufügen" um den Favoriten in Ihr Menü einzutragen und "Speichern" im Menü Einstellungen.
lHelpText23	DIESEN ORDNER HINZUFÜGEN`n`nUm schnell einen neuen Favoriten-Ordnerzum Popup-Menü HINZUZUFÜGEN:`n1) Öffnen Sie einen häufig benutzten Ordner.`n2) Klicken Sie den QAP Hotkey [~1~] oder [~2~], wählen Sie das Menü "Meine QAP Grundlagen" und klicken auf "Diesen Ordner hinzufügen".`n3) Vergeben Sie einen Kurznamen, klicken Sie "Hinzufügen" und dann "Speichern" im Einstellungsfenster.
lHelpText31	Im Menü "Meine QAP Grundlagen":
lHelpText32	- Klicken Sie auf das "Umschalten..." MenÃ¼, um auf ein beliebiges anderes Explorer- oder Anwendungsfenster zu wechseln.`n- Nutzen Sie das "Ordner erneut Ã¶ffnen" MenÃ¼ um einen bereits im Explorer geÃ¶ffneten Ordner erneut zu Ã¶ffnen (sehr nÃ¼tzlich in Dateidialogen).`n- WÃ¤hlen Sie das "KÃ¼rzliche Ordner..." MenÃ¼ um eine aktualisierte Liste der kÃ¼rzlichen Ordner anzuzeigen.`n- Verwenden Sie Dateien oder URLs ihrer Zwischenablage mit dem "Zwischenablage" MenÃ¼.`n- Klicken Sie das MenÃ¼ "Laufwerke" um eine Liste der Laufwerke inkl. LaufwerksgrÃ¶ÃŸe anzuzeigen.
lHelpText33	PASSEN SIE IHR QAP FUNKTIONEN MENÜ AN
lHelpText34	Sie können die "Meine QAP Grundlagen" Menüelemente ins Hauptmenü oder andere Untermenüs verschieben.`n`n1) Wählen Sie das Menü "Einstellungen" (oder drücken Sie [~1~]).`n2) In "Menü oder Gruppen bearbeiten:" Drop-Down Liste, wählen Sie "Haupt > Meine QAP Grundlagen".`n3) Wählen Sie die zu verschiebende QAP-Funktion und klicken "Bearbeiten".`n4) Im Menü "Optionen" wählen Sie das neue "Favoriten Elternmenü".`n5) Speichern Sie Ihre Änderungen.
lHelpText41	- Verwenden Sie das Quick Access Popup Symbol im Tray (rechts unten in Windows) auf eine von drei Möglichkeiten:`n1) Klicken Sie mit Links um das QAP Popup-Menü zu öffnen`n2) Klicken Sie mit rechts um das QAP Systemmenü zu öffnen.`n3) Doppelklicken Sie für "Einstellungen".
lHelpText42	- Klicken Sie im Tray-Menü mit rechts auf das Quick Access Popup Symbol und aktivieren Sie die Option "Beim Systemstart ausführen" um Quick Access Popup beim Start auzuführen.
lHelpText43	- Stellen Sie Ihre Quick Access Popup Menü Auslöser ein: Wählen Sie die bevorzugten Maustasten oder Tastaturkürzel im Menü "Einstellungen, Optionen, Menü Hotkeys".
lHelpText44	- Ebenfalls unter "Optionen": wählen Sie die bevorzugte Sprache, die Symbolgröße, Fensterfarben. Wählen Sie die Anzahl der anzuzeigenden häufig verwendeten Ordner, fügen Sie dem Folders Menü numerische Tastenkürzel oder Hinweise hinzu. Fixieren Sie das Popup Menü an einer Position oder lassen Sie die jeweilige Fensterposition speichern.
lHelpText45	- Nutzer von Directory Opus schauen bitte unter <a href="http://www.quickaccesspopup.com/how-to-i-enable-directory-opus-support-in-quick-access-popup/">dieser Seite</a> für zusätzliche Informationen.`n- Nutzer von Total Commander schauen bitte unter <a href="http://www.quickaccesspopup.com/how-do-i-enable-total-commander-support-in-quick-access-popup/">dieser Seite</a> für weitere Informationen.`n- Nutzer anderer Dateimanager schauen bitte unter <a href="http://www.quickaccesspopup.com/what-file-managers-are-supported-in-addition-to-windows-explorer/">dieser Seite</a> für weitere Informationen zu QAPconnect.
lHelpTextLead	Quick Access Popup ermöglicht es Ihnen, schnell zwischen häufig benutzten Ordnern, Dokumenten und Webseiten zu wechseln!
lHelpTitle	Hilfe - ~1~ ~2~
lMainMenuName	Haupt
lMenuAbout	Ü&ber
lMenuAddFavorite	Favoriten hinzufügen
lMenuAddThisFolder	Diesen Ordner hinzufügen
lMenuAlternativeEditFavorite	Favoriten bearbeiten
lMenuAlternativeNewWindow	In neuen Fenster öffnen
lMenuAppData	Anwendungsdaten
lMenuCache	Cache
lMenuClipboard	&Zwischenablage
lMenuColumnBreak	Spalte
lMenuCommonAppData	Standard Anwendungsdaten
lMenuCommonDesktop	Standard Desktop
lMenuCommonStartMenu	Standard Startmenü
lMenuCommonStartupMenu	Standard Startupmenü
lMenuCookies	Cookies
lMenuCopyLocation	Kopieren von Pfad/URL eines Favoriten
lMenuCurrentFolders	Ordner neu ffnen
lMenuDesktop	Desktop
lMenuDownloads	Downloads
lMenuDrives	Laufwerke
lMenuDrivesSpace	(~1~ GB frei / ~2~ GB)
lMenuEditIniFile	Bearbeite ~1~
lMenuExitApp	Beenden ~1~
lMenuFavoritesInternet	Favoriten (Internet)
lMenuFonts	Schriftarten
lMenuGetWinInfo	Fenstertitel und Klasse erfahren
lMenuHelp	Hilfe
lMenuHistory	Historie
lMenuMenu	Menü
lMenuMyMusic	Eigene Musik
lMenuMyQAPMenu	Meine QAP Grundlagen
lMenuMySpecialMenu	Meine Spezialordner
lMenuMyVideo	Eigene Videos
lMenuNoClipboard	Zwischenablage enthält keinen Pfad oder URL...
lMenuNoCurrentFolder	Keine derzeit offenen Ordner...
lMenuPictures	Bilder
lMenuProgramFiles	Programme
lMenuProgramsFolderStartMenu	Programme (Startmenü)
lMenuPublicLibraries	Öffentliche Bibliotheken
lMenuQuickLaunch	Schnellstart
lMenuRecentFolders	Kürzlich verwendete Ordner
lMenuRecentItems	Zuletzt verwendet
lMenuRunAtStartup	&Beim Start von Windows ausführen
lMenuSettings	Einstellungen
lMenuStartMenu	Startmenü
lMenuStartup	Startup
lMenuSuspendHotkeys	Suspend Hotkeys
lMenuSwitchFolderOrApp	Schalter
lMenuSystemCertificates	Zertifikate des Systems
lMenuTemplates	Vorlagen
lMenuTemporaryFiles	Temporäre Dateien
lMenuUpdate	Nach &Update suchen
lMenuUserFolder	Benutzerordner
lMenuUserPinned	Benutzer Pinned
lNavigateFileError	Beim Öffnen des Ordners `n~1~ trat ein Fehler auf.
lNavigateSpecialError	Beim Öffnen des Speziellen Ordners #~1~ trat ein Fehler auf.
lOopsCannotCopyFavorite	Favoriten des Typs "~1~" können nicht kopiert werden.
lOopsCouldNotOpenSpecialFolder	~1~ konnte den Systemordner nicht öffnen: "~2~".
lOopsEmpty	leer
lOopsFtpLocationProtocol	FTP-Verzeichnis muss mit "ftp://" beginnen.
lOopsGroup	Gruppe
lOopsHotkeyAlreadyUsed	Der "~1~" wird bereits für ~2~ verwendet.`n`nBitte verwenden Sie einen anderen Hotkey für ~3~.
lOopsHotkeyNotInMenus	Fehler: Ort "~1~" für Hotkey "~1~" nicht in den Menüs gefunden.
lOopsHttpLocationTransformed	Der http Ort (URL Format) wurde aus Kompatibilitätsgründen mit Windows Explorer in einen Netzwerkpfad umgewandelt (UNC Format):`n`n~1~`n~2~
lOopsInvalidWindowPosition	Ungültige Werte für Fensterposition
lOopsLaunchWithNotFound	"Mit dieser Anwendung starten" Datei nicht gefunden:`n`n~1~`n`nPrüfen Sie die erweiterten Einstellungen des Favoriten.
lOopsLocation	Ort
