lAboutText1	~1~ ~2~ (~3~ bits)
lDialogFavoriteTypesHelp2	Crie um atalho para uma "Documento".`n`nDefina o nome do menu do favorito, caminho e várias opções de menu.`n`nConfigurações avançadas permitem escolher um aplicativo específico para exibir o documento, adicionar parâmetros adicionais e definir a posição da janela.
lDialogFavoriteTypesHelp3	Crie um atalho para um "Aplicativo" (programa, arquivo de lote ou script).`n`nProcure o arquivo executável ou selecione um dos programas em execução. Defina várias opções de menu.`n`nConfigurações avançadas permitem selecionar uma pasta "Iniciar em", adicionar parâmetros e definir a posição da janela.
lDialogFavoriteTypesHelp4	Crie um atalho para uma das 50 "Pastas Especiais" predefinidas do Windows, como: Bibliotecas, Imagens, Lixeira, Downloads, etc.`n`nDefina várias opções do menu. Configurações avançadas permitem definir a posição da janela e opções do gerenciador de arquivos.
lDialogFavoriteTypesHelp5	Crie um "Link" para uma página da web.`n`nDefina o nome do menu, endereço da página web (URL) e várias opções de menu.`n`nConfigurações avançadas permitem selecionar um navegador específico para abrir o link, adicionar parâmetros opcionais e definir a posição da janela.
lDialogFavoriteTypesHelp6	Crie um atalho para um "Site FTP".`n`nDefina o nome do menu, endereço do site FTP (URL), nomede login, senha e várias opções de menu.`n`nConfigurações avançadas permitem selecionar um programa FTP específico para acessar este site, adicionar parâmetros opcionais, definir a posição da janela e codificar o nome e senha de login.`n`nNota: a senha NÃO é criptografada quando enviada pela Internet.
lDialogFavoriteTypesHelp7	Insira em qualquer lugar do seu menu "Recursos do Quick Access Popup" como:`n`n- ~1~`n- ~2~`n- ~3~`n- ~4~`n- ~5~`n- etc.
lDialogFavoriteTypesHelp8	Reúna favoritos relacionados em um "Submenu".`n`nDê um nome para seu submenu e selecione as opções de menu.`n`nAdicione favoritos em seu submenu ou mova-os de outros submenus ou grupos usando o botão "Editar".
lDialogFavoriteTypesHelp9	Inicie um "Grupo" de favoritos, todos em um atalho!`n`nDê um nome para seu grupo e defina várias opções para seu grupo.`n`nAdicione favoritos em seu grupo ou mova-os de outros submenus ou grupos usando o botão "Editar".`n`nConfigurações avançadas permitem controlar a velocidade de restauração inserindo um atraso entre cada favorito para restaurar.
lDialogFavoriteTypesLabels	&Pasta|&Documento|&Aplicativo|Pasta E&special|&Link|Site F&TP|Recurso &QAP|Sub&menu|&Grupo
lDialogFavoriteTypesLocationLabels	Pasta (caminho)|Documento (caminho e nome do arquivo)|Aplicativo (caminho e nome do arquivo)||Link (URL)|Site FTP(URL)||||||
lDialogFavoriteTypesShortNames	Pasta|Documento|Aplicativo|Especial|Link|FTP|QAP|Menu|Grupo|Separador|Quebra de Coluna|..
lDialogFileLabel	Documento
lDialogFolderLabel	Pasta
lDialogGetWinInfo	Para identificar a janela da qual deseja obter título e classe, clique na janela de destino com a tecla de atalho do menu QAP [~1~].
lDialogGetWInInfo2Clippoard	Título da janela:`n"~1~"`n`nClasse:`n"~2~"`n`nCopiar informações para a Área de Transferência?
lDialogHotkeys	Teclas de Atalho
lDialogHotkeysManageAbout	Atalhos atualmente ativos em ~1~
lDialogHotkeysManageAlternative	Alternativo
lDialogHotkeysManageAlternativeMenu	Menu Alternativo
lDialogHotkeysManageIntro	Clique duplo na linha do favorito para alterar o atalho.
lDialogHotkeysManageListHeader	Menu|Nome do Favorito|Tipo|Tecla de Atalho|Local do Favorito
lDialogHotkeysManageListSeeAllFavorites	Ver todos os favoritos
lDialogHotkeysManageListSeeShortHotkeyNames	Ver nomes abreviados de teclas de atalho
lDialogHotkeysManagePopup	Popup
lDialogHotkeysManageTitle	Gerenciar Teclas de Atalho - ~1~ ~2~
lDialogIcon	Ícone do Favorito
lDialogInvalidHotkey	Com o layout de teclado atual do sistema, a tecla de atalho "~1~" não pode ser usada como disparador para o menu popup  (erro 'não é uma tecla válida').`n`nPor favor, abra as configurações do "~2~ pelo menu da Área de Notificação e clique em "Opções". Nesta caixa de diálogo, escolha outro atalho para "~3~".
lDialogInvalidHotkeyFavorite	Com o layout atual do seu teclado, a tecla de atalho "~1~" não pode ser usada como disparador para o local "~2~" (erro de nome inválido de tecla).`n`nPor favor, escolha outro atalho para o local "~2~".
lDialogKeyboard	Teclado
lDialogLaunchWith	Iniciar com este aplicativo
lDialogMaximized	Maximizado
lDialogMenuNotMoveUnderItself	O menu "~1~" não pode ser movido abaixo de si mesmo
lDialogMinimized	Minimizado
lDialogMouse	Mouse
lDialogMouseButtonsText	Botão Esquerdo do Mouse|Botão do Meio do Mouse|Botão Direito do Mouse|Botão Especial do Mouse 1|Botão Especial do Mouse 2|Roda para Cima|Roda para Baixo|Roda para Esquerda|Roda para Direita|
lDialogMouseCheckLButton	Você não pode atribuir o "Botão Esquerdo do Mouse" sem um modificador`n(como teclas ~1~, ~2~, ~3~ ou ~4~).
lDialogMoveFavoritesTitle	Mover Favoritos - ~1~ ~2~
lDialogNone	Nenhum
lDialogNormal	Normal
lDialogOK	OK
lDialogOpenThisMenu	Abrir este menu
lDialogOr	ou
lDialogRemoveMultipleFavorites	Deseja realmente remover favoritos do ~1~ ou submenus?
lDialogSelectIcon	Selecione o ícone
lDialogSelectItemToAdd	Selecione o item para adicionar
lDialogSelectItemToEdit	Por favor, selecione o item para editar.
lDialogSelectItemToMove	Por favor, selecione o item para mover.
lDialogSelectItemToRemove	Por favor, selecione o item para remover.
lDialogShift	Shift
lDialogShortcut	Atalho
lDialogSpacebarTab	escolha <a id="Space">Barra de Espaço</a> ou <a id="Tab">Tab</a>
lDialogState	Estado daJanela
lDialogSubmenuNameEmpty	O nome do submenu está vazio. Por favor, escolha um nome.
lDialogSubmenuParentMenu	Menu pai do submenu
lDialogTabNext	Próximo
lDialogThirdPartyDetected	O ~1~ detectou que o ~2~ está instalado no sistema.`n`nDeseja habilitar a integração do ~2~?
lDialogTriggerFor	Disparador para:
lDialogUseDefaultWindowPosition	Usar posição padrão da janela
lDialogWin	Windows
lDialogWindowPosition	Posição da janela
lDialogWindowPositionDelay	Atraso
lDialogWindowPositionH	Altura
lDialogWindowPositionLeft	Esquerda
lDialogWindowPositionMayFail	Nota: por várias razões o QAP pode falhar ao mover ou redimensionar algumas janelas.
lDialogWindowPositionRight	Direita
lDialogWindowPositionW	Largura
lDialogWindowPositionX	Esquerda
lDialogWindowPositionY	Superior
lDialogWindowsFolderIconCreate	criar
lDialogWindowsFolderIconNoRoot	O ícone da pasta do não pode ser definido  na pasta raiz da unidade (~1~).
lDialogWindowsFolderIconPrompt	Este comando irá ~1~ o arquivo do sistema:`n~2~`n`nO ícone da pasta do Windows será definido como o ícone atualmente selecionado para seu favorito. Deseja continuar?
lDialogWindowsFolderIconRemove	Remover ícone da pasta do Windows
lDialogWindowsFolderIconRemoveFile	Este comando também pode EXCLUIR o arquivo do sistema:`n~1~`n`nDeseja restaurar esta pasta para seu estado normal?
lDialogWindowsFolderIconReset	O ícone da pasta será restaurado para a imagem padrão.`n`nDeseja continuar?
lDialogWindowsFolderIconSet	Definir ícone da pasta do Windows
lDialogWindowsFolderIconUpdate	atualizar
lDialogWinShort	Win
lDialogWorkingDirLabel	Iniciar em
lDonateButton	Apoiar o Freeware!
lDonateCheckPrompt	Você está contente com o ~1~?`n`nO ~1~ não é somente GRATUITO, mas também LIVRE de publicidade desagradável ou adware, que você nunca sabe se carrega spyware ou malware.`n`nAté agora, por ~2~ vezes o ~1~ lhe ajudou no seu trabalho diário. Que tal apoiar este freeware agora?
lDonateCheckTitle	~1~ vezes! - ~2~
lDonateMenu	Apoiar o Freeware!
lDonatePlatformComment1	A maneira mais flexível é usando sua conta PayPal ou o seu cartão de crédito
lDonatePlatformComment2	Receba uma fatura oficial, se você precisar dele para ser reembolsado
lDonatePlatformName1	Usando Paypal
lDonatePlatformName2	Usando Share-it
lDonateReviewNameLeft1	Download.com
lDonateReviewNameLeft2	PortableFreeware.com
lDonateReviewNameLeft3	Softpedia.com
lDonateReviewNameRight1	BetaNews.com
lDonateReviewNameRight2	FileCluster.com
lDonateReviewNameRight3	Freewares && Tutos (FR)
lDonateText1	Apoie o desenvolvimento do ~1~!
lDonateText2	<a href="~1~">Por que apoiar o freeware?</a>
lDonateText3	... ou apoie o freeware de graça!
lDonateText4	Dê uma crítica favorável para o ~1~ em:
lDonateText5	Envie-me seu link
lDonateThankyou	Obrigado por apoiar o freeware!
lDonateTitle	Apoiar o freeware! - ~1~ ~2~
lGui2Close	Fechar
lGuiAbout	Sobre
lGuiAddFavorite	Adicionar
lGuiCancel	&Cancelar
lGuiClose	&Fechar
lGuiDonate	Suporte
lGuiDropFilesHelp	Ajuda Arrastar && Soltar
lGuiDropFilesIncentive	Você pode arrastar & soltar os seguintes tipos de favoritos`nna janela do ~1~:`n`n- ~2~`n- ~3~`n- ~4~
lGuiEditFavorite	Editar
lGuiGroupClosing	Fechando janelas do Explorer
lGuiGroupRestoreDelay	Atraso entre a restauração de favoritos
lGuiGroupRestoreDelayMilliseconds	millisegundos
lGuiGroupRestoreSide	Exibir em qual lado de ~1~?
lGuiGroupSaveAddWindowsLabel	Adicionar a janela existente
lGuiGroupSaveReplaceWindowsLabel	Substituir janelas existentes
lGuiGroupSaveRestoreOption	Ao restaurar este grupo:
lGuiGroupSaveRestoreWith	Restaurar pastas com:
lGuiHelp	Ajuda
lGuiHotkeysHelp	Ajuda de Atalhos para Favoritos
lGuiHotkeysHelpText	Seta para baixo: Selecionar próximo favorito`nSeta para cima: Selecionar favorito anterior`n`nEnter: Editar favorito`nCtrl-N: Adicionar novo favorito`nCtrl-C: Copiar favorito`nDel: Remover favorito(s)`n`nShift-Seta para cima/baixo: Selecionar favoritos contínuos`nCtrl-Clique: Selecionar favoritos não-contínuos`nCtrl-A: Selecionar todos os favorites`n`nCtrl-Seta para baixo: Mover favorito(s) para baixo`nCtrl-Seta para cima: Mover favorito(s) para cima`n`nCtrl-Seta direita: Abrir submenu ou grupo selecionado`nCtrl-Seta esquerda: Abrir menu pai
lGuiLoginName	Nome de login
lGuiLvFavoritesHeader	Nome|Tipo|Local
lGuiMove	Mover
lGuiOptions	Opções
lGuiPassword	Senha
lGuiPasswordNotEncripted	Nota: a senha NÃO será criptografada ao ser enviada pela Internet.
lGuiRemoveFavorite	Remover
lGuiResetDefault	Redefinir tecla de atalho padrão
lGuiSave	&Salvar
lGuiSaveToUpdateBacklinks	Salvar para atualizar links
lGuiSubmenuDropdownLabel	Menu ou grupo para editar:
lGuiTitle	Configurações - ~1~ ~2~
lHelpTabAddingFavorite	Adicionando Favoritos
lHelpTabGettingStarted	Começando
lHelpTabQAPFeatures	Recursos do QAP
lHelpTabTipsAndTricks	Dicas e Truques
lHelpText11	Ao ser iniciado, o Quick Access Popup adiciona um ícone na Área de Notificação e aguarda pelos comandos. Quando você quiser iniciar uma das suas PASTAS, DOCUMENTOS, APLICATIVOS, LINKS DA WEB ou SITE FTP preferidas, aperte a tecla de atalho do QAP [~1~] ou [~2~] e, no menu popup, selecione o favorito desejado.
lHelpText12	Quando você selecionar uma PASTA favorita no Windows Explorer ou uma caixa de diálogo de arquivo*, o Quick Access Popup instantaneamente "navega" a janela atual até esta pasta! *Este recurso deve ser ativado em Opções.
lHelpText13	Para forçar a abertura da pasta em uma nova janela, aperte as teclas de atalho Alternativas [~1~] ou [~2~]. No menu Alternativo, selecione "Abrir em uma nova janela", então selecione a pasta desejada. O menu Alternativo oferece várias outras funções.
lHelpText14	Escolha "Configurações" para personalizar o menu do Quick Access Popup. Você pode adicionar favoritos em seu menu. Você pode mover, renomear ou excluir favoritos. Também pode adicionar SUBMENUS ou GRUPOS. Escolha "Menu ou grupo para editar:" na lista suspensa. Clique "Salvar" para manter suas alterações.
lHelpText21	Para adicionar favoritos, na janela "Configurações", clique no botão "Adicionar". Selecione o tipo do novo favorito e veja as dicas no lado direito da janela. Clique "Continuar" para abrir a caixa de diálogo "Adicionar Favorito".
lHelpText22	Nas quatro abas da caixa de diálogo "Adicionar favorito", entre as "Configurações Básicas", "Opções de Menu", "Opções da Janela" e "Configurações Avançadas". Clique "Adicionar" para inserir o favorito em seu menu e "Salvar" na janela de Configurações.
lHelpText23	ADICIONAR ESTA PASTA`n`nPara ADICIONAR rapidamente uma nova PASTA favorita ao menu popup:`n1) Vá até um a pasta usaa com frequência.`n2) Clique na tecla de atalho do QAP [~1~] ou [~2~], escolha o menu "Meus Essenciais do QAP" e clique "Adicionar Esta Pasta".`n3) Dê um nome curto para a pasta, clique "Adicionar", então "Salvar" na janela Configurações.
lHelpText31	No menu "Meus Essenciais do QAP":
lHelpText32	- Acesse o menu "Alterar..." para mudar para qualquer outra janela do Explorer ou aplicativo em execução.`n- Use o menu "Reabrir Pasta" para reabrir uma das pastas já abertas em uma janela do Explorer (muito útil em caixas de diálogo de arquivo).`n- Escolha o menu "Pastas recentes..." para exibir uma lista atualizada das pastas recentes do Windows.`n- Acesse os arquivos ou URLs em sua Área de Transferência pelo menu "Área de Transferência".`n- Clique no menu "Discos" para ver a lista de unidades com o espaço em disco atual.
lHelpText33	PERSONALIZE O MENU DE RECURSOS DO QAP
lHelpText34	Você pode mover os itens do menu "Meus Essenciais do QAP" para o menu principal ou outros submenus como desejar.`n`n1) Selecione o menu "Configurações" (ou aperte [~1~]).`n2) Na lista suspensa "Menu ou grupo para editar:", selecione "Principal > Meus Essenciais do QAP".`n3) Selecione o recurso do QAP para mover e clique "Editar".`n4) Na aba "Opções do Menu", selecione o novo "Menu Pai do Favorito".`n5) Salve suas alterações.
lHelpText41	- Use o ícone do Quick Access Popup no menu da Área de Notificação (canto inferior direito da tela do Windows) em uma destas 3 maneiras:`n1) Clique esquerdo no ícone para abrir o menu popup do QAP`n2) Clique direito no ícone para abir o menu de sistema do QAP.`n3) Clique duplo no ícone para abrir a caixa de diálogo "Configurações".
lHelpText42	- No menu da Área de Notificação, clique direito no ícone do Quick Access Popup e marque a opção "Executar na Inicialização" para iniciar o Quick Access Popup automaticamente com o Windows.
lHelpText43	- Configure os disparadores de menu do Quick Access Popup: escolha os botões preferidos do mouse ou atalhos de teclado em "Configurações > Opções > Teclas de atalho do menu".
lHelpText44	- Também em "Opções": escolha o idioma preferido, tamanho dos ícones do menu, cores das janelas. Selecione o número de pastas recentes para exibir, adicione atalhos numéricos do teclado ao menu de pastas ou lembretes de atalhos. Fixe o menu popup em uma posição ou lembre a posição da janela de Configurações.
lHelpText45	- Usuários do Directory Opus, veja <a href="http://www.quickaccesspopup.com/how-to-i-enable-directory-opus-support-in-quick-access-popup/">esta página</a> para informações adicionais.`n- Usuários do Total Commander, veja <a href="http://www.quickaccesspopup.com/how-do-i-enable-total-commander-support-in-quick-access-popup/">esta página</a> para informações adicionais.`n- Usuários de outros gerenciadores de arquivos, vejam <ahref="http://www.quickaccesspopup.com/what-file-managers-are-supported-in-addition-to-windows-explorer/">esta página</a> para informações adicionais em QAPconnect.
lHelpTextLead	O Quick Access Popup lhe permite mover rapidamente entre suas pastas, documentos e páginas da web mais usadas com frequência!
lHelpTitle	Ajuda - ~1~ ~2~
lMainMenuName	Principal
lMenuAbout	So&bre
lMenuAddFavorite	Adicionar Favorito
lMenuAddThisFolder	Adicionar esta Pasta
lMenuAlternativeEditFavorite	Editar um Favorito
lMenuAlternativeNewWindow	Abrir em uma nova janela
lMenuAppData	Dados de Aplicativos
lMenuCache	Cache
lMenuClipboard	Área de Transferência
lMenuColumnBreak	coluna
lMenuCommonAppData	Dados de Aplicativos Comuns
lMenuCommonDesktop	Área de Trabalho Comum
lMenuCommonStartMenu	Menu Iniciar Comum
lMenuCommonStartupMenu	Menu Inicializar Comum
lMenuCookies	Cookies
lMenuCopyLocation	Copiar Caminho ou URL do Favorite
lMenuCurrentFolders	Reabrir Pasta
lMenuDesktop	Área de Trabalho
lMenuDownloads	Downloads
lMenuDrives	Discos
lMenuDrivesSpace	(~1~ GB livre(s) / ~2~ GB)
lMenuEditIniFile	Editar ~1~
lMenuExitApp	Sair do ~1~
lMenuFavoritesInternet	Favoritos (Internet)
lMenuFonts	Fontes
lMenuGetWinInfo	Obter Título e Classe da janela
lMenuHelp	Ajuda
lMenuHistory	Histórico
lMenuMenu	Menu
lMenuMyMusic	Minhas Músicas
lMenuMyQAPMenu	Meus Essenciais do QAP
lMenuMySpecialMenu	Minhas Pastas Especiais
lMenuMyVideo	Meus Vídeos
lMenuNoClipboard	A Área de Transferência não contém nenhum caminho ou URL...
lMenuNoCurrentFolder	Nenhuma pasta aberta atualmente...
lMenuPictures	Imagens
lMenuProgramFiles	Arquivos de Programas
lMenuProgramsFolderStartMenu	Pasta de Programas (Menu Iniciar)
lMenuPublicLibraries	Bibliotecas Públicas
lMenuQuickLaunch	Inicialização Rápida
lMenuRecentFolders	Pastas Recentes
lMenuRecentItems	Itens Recentes
lMenuRunAtStartup	Executa&r na Inicialização
lMenuSettings	Configurações
lMenuStartMenu	Menu Iniciar
lMenuStartup	Inicialização
lMenuSuspendHotkeys	Teclas de Atalho de Suspensão
lMenuSwitchFolderOrApp	Alterar
lMenuSystemCertificates	Certificados do Sistema
lMenuTemplates	Modelos
lMenuTemporaryFiles	Arquivos Temporários
lMenuUpdate	Verificar at&ualizações
lMenuUserFolder	Pasta do Usuário
lMenuUserPinned	Fixado pelo Usuário
lNavigateFileError	Ocorreu um erro ao abrir a pasta:`n~1~.
lNavigateSpecialError	Ocorreu um erro ao abrir a pasta especial #~1~.
lOopsCannotCopyFavorite	Favoritos do tipo "~1~" não podem ser copiados.
lOopsCouldNotOpenSpecialFolder	O ~1~ não pôde abrir a pasta especial: "~2~".
lOopsEmpty	vazio
lOopsFtpLocationProtocol	O local FTP deve começar com "ftp://".
lOopsGroup	grupo
lOopsHotkeyAlreadyUsed	A tecla de atalho "~1~" já está em uso por ~2~.`n`nPor favor, escolha outra tecla para ~3~.
lOopsHotkeyNotInMenus	Erro: o local "~1~" da tecla de atalho "~1~" não foi encontardo nos menus.
lOopsHttpLocationTransformed	O local HTTP (formato URL) foi transformado em um caminho de rede (formato UNC) para compatibilidade com o Windows Explorer:`n`n~1~`n~2~
lOopsInvalidWindowPosition	Valor(es) inválido(s) da posição da janela
lOopsLaunchWithNotFound	Arquivo "Iniciar com este aplicativo" não encontrado:`n`n~1~`n`nVerifique as configurações avançadas do favorito.
lOopsLocation	local
lOopsOSVerrsionError	O ~1~ necessita do Window 7 ou sistema operacional mais recente. Usuários do Windows Vista e XP podem usar o Folders Popup, que é compatível com estas versões.`n`nDeseja visitar o site do Folders Popup?
lOopsQAPfeature	Recurso do QAP
lOopsTitle	~1~ (~2~)
lOopsWriteProtectedError	Parece que o ~1~ está sendo executado de uma pasta PROTEGIDA CONTRA GRAVAÇÃO onde o arquivo de configuração "~1~.ini" não pode ser criado.`n`nMova o arquivo EXE do ~1~ para uma pasta REGULAR de sua escolha e execute-o novamente desta pasta.`n`nO ~1~ irá fechar.
lOopsWrongThirdPartyPath	Caminho ou nome de arquivo incorreto para ~1~:`n~2~.`n`nVerifique o arquivo EXE selecionado para ~1~ em "Opções", aba "~3~".
lOopsWrongThirdPartyPathQAPconnect	Caminho ou nome de arquivo incorreto para aplicativo QAPconnect`n~1~:`n~2~.`n`nVerifique os valores para [~1~] em ~3~. Use o botão "~4~" em "Opções", aba "~5~".
lOopsZipFileError	Parece que o ~1~ está sendo executado a partir do arquivo ZIP.`n`nVocê deve extrair o executável EXE do ~1~ no arquivo ZIP para uma pasta de sua escolha antes de executá-lo.`n`nO ~1~ irá fechar.
lOptionsAlternativeMenuFeatures	Teclas de Atalho do Menu Alternativo
lOptionsAlternativeMenuFeaturesIntro	Gerencie os atalhos que irão disparar os recursos do menu Alternativo.
lOptionsChangeFolderInDialog	Altere pastas na caixa de diálogo com as teclas de atalho principais do QAP
lOptionsChangeFolderInDialogCheckbox	Clique nesta caixa de marcação para confirmar as possíveis consequências do mau uso do recurso 'alterar pasta' nas caixas de diálogo "não-arquivo".
lOptionsChangeFolderInDialogText	ATIVE esta opção para habilitar a navegação por pastas em caixas de diálogo (Abrir, Salvar Como, etc.) mas, por favor, leia o seguinte aviso.`n`nVocê deve usar este recurso SOMENTE em caixas de diálogo de "arquivo". Se você usá-lo em outros tipos de caixas de diálogo, por exemplo, em uma caixa de diálogo "Opções", tentar alterar a pasta pode modificar e salvar valores na caixa de diálogo sem nenhuma notificação.
lOptionsChangeHotkey	Alterar
lOptionsCheck4Update	Verificar atualizações
lOptionsDisplayIcons	Ex&ibir Ícones do Menu
lOptionsDisplayMenuShortcuts	Exibir Atalhos &Numéricos de Menu
lOptionsExclusionDetail1	Para bloquear o menu pelo botão do mouse do QAP [~1~] em um aplicativo, entre qualquer parte do título da janela do aplicativo. Você pode entrar múltiplas exclusões, uma por linha. Por exemplo, para excluir o Chrome e Word, entre as seguintes duas linhas na lista de exclusão:`n`nGoogle Chrome`nMicrosoft Word
lOptionsExclusionDetail2	A tecla de atalho do QAP será desativada nestes aplicativos e o clique [~1~] será enviado para a janela de destino se o QAP não estiver em execução. Você também pode excluir janelas pelo nome da sua classe. Você pode encontrar ajuda e suporte deste recurso no <a href="~2~">site do QAP</a>.
lOptionsExclusionList	Lista de exclusões
lOptionsExclusionTitle	Lista de exclusões para disparador do Mouse [~1~]
lOptionsFtpEncoding	Criptografar usuário e senha FTP (recomendado)
lOptionsFtpEncodingTC	Criptografar usuário e senha FTP (não recomendado para o Total Commander)
lOptionsGuiTitle	Opções - ~1~ ~2~
lOptionsHotkeyRemindersFull	Exibir nomes completos
lOptionsHotkeyRemindersNo	Não exibir
