lAboutText1	~1~ ~2~ (~3~ bits)
lDialogFavoriteDoesNotExistPrompt	The favorite "~1~"~2~ does not exist or is not available.`n`nIf this favorite is on a network drive, please try again after network authentification. ; CHANGED - WAS: Favorito "~1~" no existe o no está disponible.`n`nSi este favorito está en una unidad de red, por favor inténtalo de nuevo después de la autenticación de red.`n`nSi uno de los favoritos es un enlace a una página web, elegir la opción "Link (URL)" Cuando se agrega un favorito.
lDialogFavoriteDoesNotExistTitle	Favorito no encontrado - ~1~
lDialogFavoriteDropdownEmpty	Please choose an item in the ~1~ drop-down list. ; new
lDialogFavoriteLocationEmpty	La ubicación está vacía. Quiere indicar la ubicación de la carpeta.
lDialogFavoriteMenuPosition	Inserte nuevos favoritos antes de este artículo
lDialogFavoriteNameEmpty	El nombre del favorito está vacio. Quiere indicar un nombre corto para este favorito.
lDialogFavoriteNameNoSeparator	This item name cannot include the reserved character "~1~". ; CHANGED - WAS: El nombre del submenú, no debe incluir carácter reservado "~1~".
lDialogFavoriteNameNotAllowed	Favorites of type "~1~" are not allowed in groups. Please, select another parent menu in the "Menu Options" tab. ; new
lDialogFavoriteNameNotNew	El nombre "~1~" ya está presente en este menú. Quiere elegir un nuevo nombre.
lDialogFavoriteNameNotNewQAPfeature	The name "~1~" is already used in this menu. Please, rename the existing favorite and try again. ; new
lDialogFavoriteParentMenu	Inserte nuevos favoritos en este menú
lDialogFavoriteRemovePrompt	Suprimir el sub-menú "~1~"`incluyendo todos los contenidos (carpetas y sub-menús)?
lDialogFavoriteRemoveTitle	Suprimir un favorito - ~1~
lDialogFavoriteSelectType	Select the type of favorite to add.`n`nIn the next window, you will give your favorite:`n- a name`n- a content (depending on the type)`n- various settings (icon, shortcut, etc.)`n`nChoose the new favorite's type and click "~1~". ; new
lDialogFavoriteShortNameLabel	Short name for menu ; new
lDialogFavoritesParentMenuMove	Mover ~1~ favoritos hacia este menú
lDialogFavoriteType	Favorite Type ; new
lDialogFavoriteTypesHelp1	Create a shortcut to a frequently used "Folder".`n`nSet the favorite's menu name, path and various menu options.`n`nAdvanced settings allow to set the window position and file manager options. ; new
lDialogFavoriteTypesHelp2	Create a shortcut to a "Document".`n`nSet the favorite's menu name, path and various menu options.`n`nAdvanced settings allow to choose a specific application to launch the document, add optional parameters and set the window position. ; new
lDialogFavoriteTypesHelp3	Create a shortcut to an "Application" (program, batch or script).`n`nBrowse for the executable file or select one of the currently running programs. Set various menu options.`n`nAdvanced settings allow to select a "Start In" directory, add parameters and set the window position. ; new
lDialogFavoriteTypesHelp4	Create a shortcut to one of the 50 pre-defined Windows "Special Folders" suchs as: Libraries, My Pictures, Recycle Bin, Downloads, etc.`n`nSet various menu options. Advanced settings allow to set the window position and file manager options. ; new
lDialogFavoriteTypesHelp5	Create a "Link" to a web page.`n`nSet menu name, web page's address (URL) and various menu options.`n`nAdvanced settings allow to select a specific browser to launch the link, add optional parameters and set the window position. ; new
lDialogFavoriteTypesHelp6	Create a shortcut to an "FTP Site".`n`nSet menu name, FTP site's address (URL), login name, password and various menu options.`n`nAdvanced settings allow to select a specific FTP program to access this site, add optional parameters, set the window position and encode login name and password.`n`nNote: the password is NOT encrypted when sent on Internet. ; new
lDialogFavoriteTypesHelp7	Insert anywhere in your menu "Quick Access Popup Features" such as:`n`n- ~1~`n- ~2~`n- ~3~`n- ~4~`n- ~5~`n- etc. ; new
lDialogFavoriteTypesHelp8	Gather related favorites in a "Submenu".`n`nGive your submenu a name and select menu options.`n`nAdd favorites to your submenu or move them from other submenus or groups using the "Edit" button. ; new
lDialogFavoriteTypesHelp9	Launch a "Group" of favorites, all in one shortcut!`n`nGive your group a name and set various options for your group.`n`nAdd favorites to your group or move them from other submenus or groups using the "Edit" button.`n`nAdvanced settings allow to control restoring speed by inserting a delay between each favorite to restore. ; new
lDialogFavoriteTypesLabels	&Folder|&Document|&Application|&Special Folder|&Link|F&TP Site|&QAP Feature|Sub&menu|&Group ; new
lDialogFavoriteTypesLocationLabels	Folder (path)|Document (path and file name)|Application (path and file name)||Link (URL)|FTP Site (URL)|||||| ; new
lDialogFavoriteTypesShortNames	Folder|Doc|App|Special|Link|FTP|QAP|Menu|Group|Separator|Column Break|.. ; new
lDialogFileLabel	Documento
lDialogFolderLabel	Carpeta
lDialogGetWinInfo	To identify the window of which you want to get the title and class, click in the target window with the QAP menu hotkey [~1~]. ; new
lDialogGetWInInfo2Clippoard	Window title:`n"~1~"`n`nClass:`n"~2~"`n`nCopy this info to your Clipboard? ; new
lDialogHotkeys	Hotkeys ; new
lDialogHotkeysManageAbout	Shortcuts currently active in ~1~ ; new
lDialogHotkeysManageAlternative	Alternative ; new
lDialogHotkeysManageAlternativeMenu	Alternative Menu ; new
lDialogHotkeysManageIntro	Double-click on a favorite line to change its shortcut. ; new
lDialogHotkeysManageListHeader	Menu|Favorite Name|Type|Hotkey|Favorite Location ; new
lDialogHotkeysManageListSeeAllFavorites	See all favorites ; new
lDialogHotkeysManageListSeeShortHotkeyNames	See abbreviated hotkey names ; new
lDialogHotkeysManagePopup	Popup ; new - keep Popup in all languages?
lDialogHotkeysManageTitle	Manage Hotkeys - ~1~ ~2~ ; new
lDialogIcon	Favorite Icon ; CHANGED - WAS: Icono
lDialogInvalidHotkey	Con la configuración actual de la tecla de acceso directo del teclado "~1~" no se puede utilizar como un disparador para el menú emergente.`n`nPor favor, abra la "Configuración ~2~" en el área de notificación y haga clic en "Opciones". En este cuadro de diálogo, elija otra tecla de acceso directo a"~3~".
lDialogInvalidHotkeyFavorite	With your current system keyboard layout, the hotkey "~1~" could not be used as a trigger for the location "~2~" (not a valid key name error).`n`nPlease, choose another shortcut for location "~2~". ; new
lDialogKeyboard	Keyboard ; new - lOptionsKeyboard renamed
lDialogLaunchWith	Launch with this application ; new
lDialogMaximized	Maximizado
lDialogMenuNotMoveUnderItself	El menú "~1~" no se pueden mover sobre sí mismo.
lDialogMinimized	Minimizado
lDialogMouse	Mouse ; new - lOptionsMouse renamed
lDialogMouseButtonsText	Left Mouse Button|Middle Mouse Button|Right Mouse Button|Special Mouse Button 1|Special Mouse Button 2|Wheel Up|Wheel Down|Wheel Left|Wheel Right| ; new - lOptionsMouseButtonsText renamed
lDialogMouseCheckLButton	You can't assign the "Left Mouse Button" without a modifier`n(like ~1~, ~2~, ~3~ or ~4~ keys). ; new - lOptionsMouseCheckLButton renamed, changed
lDialogMoveFavoritesTitle	Mueva los favoritos - ~1~ ~2~
lDialogNone	None ; new - lOptionsMouseNone renamed
lDialogNormal	Normal
lDialogOK	OK ; new
lDialogOpenThisMenu	Abrir este menú
lDialogOr	or ; new (lowercase)
lDialogRemoveMultipleFavorites	Realmente quiere suprimir ~1~ favoritos o sub-menús?
lDialogSelectIcon	Select icon ; new
lDialogSelectItemToAdd	Select the item to add ; new
lDialogSelectItemToEdit	Por favor seleccione la parte a editar.
lDialogSelectItemToMove	Please, select the item to move. ; new
lDialogSelectItemToRemove	Por favor seleccione la parte a suprimir.
lDialogShift	Shift ; new
lDialogShortcut	Shortcut ; new
lDialogSpacebarTab	choose <a id="Space">space bar</a> or <a id="Tab">tab</a> ; new - do NOT translate ID="xxx"
lDialogState	Window State: ; new
lDialogSubmenuNameEmpty	El nombre del sub-menú está vacio. Porfavor indique un nombre corto para esta carpeta.
lDialogSubmenuParentMenu	Menú contiene este sub-menú
lDialogTabNext	Suite
lDialogThirdPartyDetected	~1~ hemos detectado que ~2~ está instalado en su ordenador.`n`nPorfavor active la integración con ~2~?
lDialogTriggerFor	Trigger for: ; new
lDialogUseDefaultWindowPosition	Use default window position ; new
lDialogWin	Windows ; new - this is the windows key
lDialogWindowPosition	Window position: ; new
lDialogWindowPositionDelay	Delay ; new
lDialogWindowPositionH	Height ; new
lDialogWindowPositionLeft	Left ; new
lDialogWindowPositionMayFail	Note: for various reasons QAP may fail to move or resize some windows. ; new
lDialogWindowPositionRight	Right ; new
lDialogWindowPositionW	Width ; new
lDialogWindowPositionX	Left ; new
lDialogWindowPositionY	Top ; new
lDialogWindowsFolderIconCreate	create ; new
lDialogWindowsFolderIconNoRoot	The Windows folder icon cannot be set in drive's root directory (~1~). ; new
lDialogWindowsFolderIconPrompt	This command will ~1~ the system file:`n~2~`n`nThe Windows folder's icon will be set to the icon currently selected for this favorite. Do you want to continue? ; new
lDialogWindowsFolderIconRemove	Remove Windows folder icon ; new
lDialogWindowsFolderIconRemoveFile	This command can also DELETE the system file:`n~1~`n`nDo you want to restore this folder to its normal state? ; new
lDialogWindowsFolderIconReset	The folder's icon will be reset to its default image. `n`nDo you want to continue? ; new
lDialogWindowsFolderIconSet	Set Windows folder icon ; new
lDialogWindowsFolderIconUpdate	update ; new
lDialogWinShort	Win ; new - windows key short name
lDialogWorkingDirLabel	Empezar con
lDonateButton	Apoyar este programa gratuito!
lDonateCheckPrompt	Es de su agrado ~1~?`n`n~1~ no sólo es gratuito, sino que también se distribuye sin basura publicitaria que nunca se sabe si son portadores de virus o spyware o malware.`n`nEs por esto ~2~ que ~1~ esta hecho para facilitar su trabajo diario. Que te parecería apoyar nuestro proyecto?
lDonateCheckTitle	~1~ vez! - ~2~
lDonateMenu	Apoyar este programa gratuito!
lDonatePlatformComment1	La forma más flexible con su cuenta o tarjeta de crédito de PayPal
lDonatePlatformComment2	Reciba una factura oficial, si lo necesita para un reembolso
lDonatePlatformName1	Con Paypal
lDonatePlatformName2	Con Share-it
lDonateReviewNameLeft1	Download.com
lDonateReviewNameLeft2	PortableFreeware.com
lDonateReviewNameLeft3	Softpedia.com
lDonateReviewNameRight1	BetaNews.com
lDonateReviewNameRight2	FileCluster.com
lDonateReviewNameRight3	Freewares && Tutos (FR)
lDonateText1	Apoyar el desarrollo de ~1~ !
lDonateText2	<a href="~1~">Por qué apoyar este programa gratuito?</a>
lDonateText3	... o apoyar este freeware gratis !
lDonateText4	Escribe una opinión a favor ~1~ a :
lDonateText5	Enviadme vuestro link
lDonateThankyou	Gracias por esta señal de aprecio!
lDonateTitle	Apoyar este programa gratuito! - ~1~ ~2~
lGui2Close	Cerrar
lGuiAbout	Acerca de
lGuiAddFavorite	Añadir
lGuiCancel	Anular
lGuiClose	Cerrar
lGuiDonate	Apoyar
lGuiDropFilesHelp	Uso de arrastrar y soltar
lGuiDropFilesIncentive	Puede arrastrar y soltar los tipos de favoritos`nsiguiente en la ventana ~1~:`n`n- ~2~`n- ~3~`n- ~4~
lGuiEditFavorite	Modicar
lGuiGroupClosing	Closing Explorer windows ; CHANGED - WAS: Cerrar ventanas
lGuiGroupRestoreDelay	Delay between favorites to restore: ; new
lGuiGroupRestoreDelayMilliseconds	milliseconds ; new
lGuiGroupRestoreSide	Display on which side of ~1~? ; new
lGuiGroupSaveAddWindowsLabel	Añadir a ventanas existentes
lGuiGroupSaveReplaceWindowsLabel	Replace existing windows ; CHANGED - WAS: Reemplazar las ventanas existentes
lGuiGroupSaveRestoreOption	Durante la restauración del grupo:
lGuiGroupSaveRestoreWith	Restore folders with: ; new
lGuiHelp	Ayuda
lGuiHotkeysHelp	Ayuda con atajos favoritos
lGuiHotkeysHelpText	Down: Select next favorite`nUp: Select previous favorite`n`nEnter: Edit favorite`nCtrl-N: Add a new favorite`nCtrl-C: Copy a favorite`nDel: Remove favorite(s)`n`nShift-Up/Down: Select contiguous favorites`nCtrl-Click: Select non-contiguous favorites`nCtrl-A: Select all favorites`n`nCtrl-Down: Move favorite(s) down`nCtrl-Up: Move favorite(s) up`n`nCtrl-Right: Open selected submenu or group`nCtrl-Left: Open parent menu ; CHANGED - WAS: Flecha Hacia Abajo: Seleccionar los próximos favoritos`nFlecha Hacia arriba: Sleccionar los favoritos anteriores`nCtrl-N: Añadir nuevo favorito`nEntrada: Modificar un favorito`n`nMay-Arriba/Abajo: Seleccionar favoritos contiguos`nCtrl-Clic: Seleccionar favoritos no-contiguos`nCtrl-A: Seleccionar todos los favoritos`n`nCtrl-Bas: Mueva uno o más marcadores abajo`nCtrl-Haut: Mueva uno o más marcadores arriba`nSuppr: Suprimir uno o más favoritos`n`nCtrl-Droite: Abrir un sub-menú`nCtrl-Gauche: Abra el submenú con este menú
lGuiLoginName	Login name ; new
lGuiLvFavoritesHeader	Name|Type|Location ; CHANGED - WAS: Nombre|Ubicación
lGuiMove	Mover
lGuiOptions	Opciones
lGuiPassword	Password ; new
lGuiPasswordNotEncripted	Note: the password will NOT be encrypted when sent on Internet. ; new
lGuiRemoveFavorite	Suprimir
lGuiResetDefault	Restaurar el lanzador por defecto
lGuiSave	Registrar
lGuiSubmenuDropdownLabel	Menu or group to edit: ; CHANGED - WAS: Menú a modificar:
lGuiTitle	Parámetros - ~1~ ~2~
lHelpTabAddingFavorite	Adding Favorites ; CHANGED - WAS: Añadir favoritos
lHelpTabGettingStarted	Primer paso
lHelpTabQAPFeatures	QAP Features ; new
lHelpTabTipsAndTricks	Tips and Tricks ; new
lHelpText11	At its launch, Quick Access Popup adds an icon in the System Tray and awaits your orders. When you want to launch one of your preferred FOLDERS, DOCUMENTS, APPLICATIONS, WEB LINKS or FTP SITE, just hit the QAP hotkey [~1~] or [~2~] and, in the popup menu, select the desired favorite. ; new
lHelpText12	When you select a favorite FOLDER in Windows Explorer or a file dialog box*, Quick Access Popup  instantly "navigate" the current window to this folder! * This feature must be enabled in Options. ; new
lHelpText13	To force opening the folder in a new window, hit the Alternative hotkeys [~1~] or [~2~]. In the Alternative menu, select "Open in new window", then select the desired folder. The Alternative menu offers several other functionalities. ; new
lHelpText14	Choose "Settings" to customize your Quick Access Popup menu. You can add favorites to your menu. You can move, rename or delete them. You can also add SUBMENUS or GROUPS. Choose the "Menu or group to edit:" in the  drop-down list. Click "Save" to keep your changes. ; new
lHelpText21	To add favorites, in the "Settings" window, click the "Add" button. Select the type of the new favorite and see the tips on the right side of the widow. Click "Continue" to open the "Add Favorite" dialog box. ; new
lHelpText22	In the four tabs of the "Add favorite" dialog box, enter the "Basic Settings", "Menu Options", "Window Options" and "Advanced Settings". Click "Add" to insert the favorite in your menu and "Save" in the Settings window. ; new
lHelpText23	ADD THIS FOLDER`n`nTo quickly ADD a new favorite FOLDER to the popup menu:`n1) Go to a frequently used folder.`n2) Click the QAP hotkey [~1~] or [~2~], choose the "My QAP Essentials" menu and click "Add This Folder".`n3) Give the folder a short name, click "Add", then "Save" in the Settings window. ; new
lHelpText31	In the "My QAP Essentials" menu: ; new
lHelpText32	- Choose the "Recent folders..." menu to show an updated list of the Windows recent folders.`n- Use the "Reuse an Open Folder" menu to reopen one of the folders already open in an Explorer window (very useful in file dialog boxes).`n- Access the files or URLs in your Clipboard with the "Clipboard" menu. ; new
lHelpText33	CUSTOMIZE YOUR QAP FEATURES MENU`n`nYou can move the "My QAP Essentials" menu items to the main menu or to other submenus as you wish.`n`n1) Select the "Settings" menu (or hit [~1~]).`n2) In the "Menu or group to edit:" drop-down list, select "Main > My QAP Essentials".`n3) Select the QAP feature to move and click "Edit".`n4) In the "Menu Options" tab, select the new "Favorite Parent menu".`n5) Save your changes. ; new
lHelpText41	- Use the Quick Access Popup icon in the Tray menu (lower right of Windows screen) in one of these three ways:`n1) Left-click the icon to open the QAP popup menu`n2) Right-click the icon to open the QAP system menu.`n3) Double-click the icon to open the "Settings" dialog box. ; new
lHelpText42	- In the Tray menu, right-click on the Quick Access Popup icon and check the "Run at Startup" option to launch Quick Access Popup automatically at start-up. ; new
lHelpText43	- Configure your Quick Access Popup menu triggers: choose your preferred mouse buttons or keyboard shortcuts in "Settings, Options, Menu hotkeys". ; new
lHelpText44	- Also in "Options": choose your preferred language, menu icons size, windows colors. Select the number of recent folders to display, add numeric keyboard shortcuts to the folders menu or shortcut reminders. Pin the popup menu at a fix position or remember the Settings window position. ; new
lHelpText45	- Directory Opus users, see <a href="http://www.quickaccesspopup.com/how-to-i-enable-directory-opus-support-in-quick-access-popup/">this page</a> for additional information.`n- Total Commander users, see <a href="http://www.quickaccesspopup.com/how-do-i-enable-total-commander-support-in-quick-access-popup/">this page</a> for additional information.`n- Other file managers users, see <a href="http://www.quickaccesspopup.com/what-file-managers-are-supported-in-addition-to-windows-explorer/">this page</a> for additional information on QAPconnect. ; new
lHelpTextLead	Con Quick Access Popup, podrá navegar de un vistazo por sus archivos, páginas web y documentos favoritos!
lHelpTitle	Ayuda - ~1~ ~2~
lMainMenuName	Principal
lMenuAbout	Acerca de
lMenuAddFavorite	Add Favorite ; new
lMenuAddThisFolder	Añadir esta carpeta al menú
lMenuAlternativeEditFavorite	Edit a Favorite ; new
lMenuAlternativeNewWindow	Open in new window ; new
lMenuAppData	Datos de la aplicación
lMenuCache	Cache
lMenuClipboard	Portapapeles
lMenuColumnBreak	columna
lMenuCommonAppData	Datos de la aplicación (común)
lMenuCommonDesktop	Oficina (común)
lMenuCommonStartMenu	Menu De Inicio (común)
lMenuCommonStartupMenu	Inicio (común)
lMenuCookies	Cookies
lMenuCopyLocation	Copy a Favorite's Path or URL ; new
lMenuCurrentFolders	Carpetas en el explorador
lMenuDesktop	Oficina
lMenuDownloads	Descarga
lMenuEditIniFile	Edit ~1~ ; new
lMenuExitApp	Cerrar ~1~
lMenuFavoritesInternet	Favoritos (Internet)
lMenuFonts	Fuentes
lMenuGetWinInfo	Get window Title and Class ; new
lMenuHelp	Ayuda
lMenuHistory	Historial
lMenuMenu	Menú
lMenuMyMusic	Mi música
lMenuMyQAPMenu	My QAP Esssentials ; new
lMenuMySpecialMenu	My Special Folders ; new
lMenuMyVideo	Mis videos
lMenuNoClipboard	Clipboard contains no path or URL... ; new
lMenuNoCurrentFolder	No currently open folders... ; new
lMenuPictures	Imágenes
lMenuProgramFiles	Programas
lMenuProgramsFolderStartMenu	Carpeta Programas (menú Inicio)
lMenuPublicLibraries	Bibliotecas (publico)
lMenuQuickLaunch	Lanzador rápido
lMenuRecentFolders	Ubicaciones recientes
lMenuRecentItems	Documentos recientes
lMenuRefreshRecent	Actualización de carpetas recientes en curso
lMenuRunAtStartup	Ejecutar al Inicio
lMenuSettings	Settings ; CHANGED - WAS: Parámetros de ~1~
lMenuStartMenu	Menú de Inicio
lMenuStartup	Inicio
lMenuSuspendHotkeys	Suspender atajos de teclado (Hotkeys)
lMenuSystemCertificates	Certificados de Sistema
lMenuTemplates	Modelos
lMenuTemporaryFiles	Ficheros temporales
lMenuUpdate	Compruebe Actualización
lMenuUserFolder	Carpeta de Usuario
lMenuUserPinned	Adherido al Usuario
lNavigateFileError	Se produjo un error al abrir la carpeta:`n~1~.
lNavigateSpecialError	Se produjo un error al abrir la carpeta especial #~1~.
lOopsCannotCopyFavorite	Favorites of type "~1~" cannot be copied. ; new
lOopsCouldNotOpenSpecialFolder	~1~ no se puede abrir la carpeta especial: "~2~".
lOopsFtpLocationProtocol	FTP location must start with "ftp://". ; new
lOopsGroup	group ; new
lOopsHotkeyAlreadyUsed	The hotkey "~1~" is already used for ~2~.`n`nPlease, choose another hotkey for ~3~. ; new
lOopsHotkeyNotInMenus	Error: location "~1~" for hotkey "~1~" not found in menus. ; new
lOopsHttpLocationTransformed	The http location (URL format) has been transformed to a network path (UNC format) for compatibility with Windows Explorer:`n`n~1~`n~2~ ; new
lOopsInvalidWindowPosition	Invalid window position value(s) ; new
lOopsLaunchWithNotFound	"Launch with this application" file not found:`n`n~1~`n`nCheck the favorite's advanced settings. ; new
lOopsLocation	location ; new
lOopsOSVerrsionError	~1~ requires Window 7 or a more recent operating system. Windows Vista and XP users are invited to use Folders Popup that is compatible with these versions.`n`nDo you want to visit Folders Popup website? ; new
lOopsQAPfeature	QAP feature ; new
lOopsTitle	~1~ (~2~)
lOopsWriteProtectedError	Parece ser que ~1~ fué lanzado desde una carpeta SOLO DE ESCRITURA de forma que es imposible crear el archivo de configuración "~1~.ini".`n`nMueva el archivo .EXE de ~1~ a una carpeta REGULAR a vuestra elección, a continuación, ejecute de nuevo la aplicación de esta carpeta.`n`n~1~ estará cerrada.
lOopsWrongThirdPartyPath	Ruta o nombre de archivo incorrecto para ~1~:`n~2~.`n`nVerifique el archivo .exe seleccionado para ~1~ en las "Opciones", pestaña "~3~".
lOopsWrongThirdPartyPathQAPconnect	Wrong path or file name for QAPconnect application`n~1~:`n~2~.`n`nCheck values for [~1~] in ~3~. Use the "~4~" button in "Options", tab "~5~". ; new
lOopsZipFileError	Parece ser que ~1~ se puso en marcha directamente desde un archivo comprimido (ZIP).`n`nDebe extraer el archivo .EXE de ~1~ del comprimido ZIP a una carpeta de su elección, a continuación, ejecute de nuevo la aplicación de esta carpeta.`n`n~1~ será cerrada.
lOptionsAlternativeMenuFeatures	Alternative Menu Hotkeys ; new
lOptionsAlternativeMenuFeaturesIntro	Manage the shortcuts that will trigger the Alternative menu features. ; new
lOptionsChangeFolderInDialog	Change folders in dialog box with main QAP hotkeys ; new
lOptionsChangeFolderInDialogCheckbox	Click this checkbox to confirm that you understand the possible consequence of misusing the change folder feature in "non-file" dialog boxes. ; new
lOptionsChangeFolderInDialogText	Turn this option ON to enable folder navigation in dialog boxes (Open, Save As, etc.) but, please, read the following warning.`n`nYou must use this feature ONLY in "file" dialog boxes. If you use it in other types of dialog box, for example in an "Options" dialog box, trying to change folder could modify and save values in the dialog box without any notification. ; new
lOptionsChangeHotkey	Modificar
lOptionsCheck4Update	Compruebe Actualización
lOptionsDisplayIcons	Mostrar los iconos del menú
lOptionsDisplayMenuShortcuts	Mostrar atajos numéricos
lOptionsExclusionDetail1	To block the QAP mouse menu button [~1~] in an application, enter any part of the application's window title. You can enter multiple exclusions, one per line. For example, to exclude Chrome and Word, enter the following two lines in the exclusion list:`n`nGoogle Chrome`nMicrosoft Word ; new
lOptionsExclusionDetail2	The QAP hotkey will be disabled in these apps and the [~1~] click will be sent to the target window as if QAP was not running. You can also exclude windows by their class name. You can find help and support on this feature <a href="~2~">on the QAP website</a>. ; new
lOptionsExclusionList	Exclusions list ; new
lOptionsExclusionTitle	Exclusions list for Mouse trigger [~1~] ; new
lOptionsFtpEncoding	Encode FTP username and password (recommended) ; new
lOptionsFtpEncodingTC	Encode FTP username and password (not recommended for Total Commander) ; new
lOptionsGuiTitle	Opciones - ~1~ ~2~
lOptionsHotkeyRemindersFull	Display full names ; new
lOptionsHotkeyRemindersNo	Do not display ; new
lOptionsHotkeyRemindersPrompt	Hotkey reminders in menu: ; new
lOptionsHotkeyRemindersShort	Display abbreviated names ; new
lOptionsIconSize	Tamaño de iconos del menú
lOptionsLanguage	Idioma
lOptionsLanguageLabels	Inglés|Francés|Alemán|Holandés|Coreano|Sueco|Italiano|Español|Portugués brasileño
lOptionsMenuActiveWindow	En la ventana activa
lOptionsMenuFixPosition	En una posición fija
lOptionsMenuNearMouse	Cerca del puntero del ratón
lOptionsMenuPositionPrompt	Mostrar el menú popup:
lOptionsMouseAndKeyboard	Lanzadores de menú
lOptionsOpenMenuOnTaskbar	Abrir el menú en la barra de tareas
lOptionsOtherOptions	General
lOptionsPopupFixPositionX	Posición X:
lOptionsPopupFixPositionY	Y:
lOptionsPopupHotkeyTitles	Quick Access Popup Mouse button|Quick Access Popup Keyboard shortcut|Alternative Menu Mouse button|Alternative Menu Keyboard shortcut ; new
